друг	determiner	mkd	друг	determiner	bul
надворешно	adverb	mkd	външно	adverb	bul
непосредно	adverb	mkd	непосредно	adverb	bul
благородно	adverb	mkd	благородно	adverb	bul
првенствено	adverb	mkd	главно	adverb	bul
надлежно	adverb	mkd	надлежно	adverb	bul
легитимно	adverb	mkd	легитимно	adverb	bul
либерално	adverb	mkd	либерално	adverb	bul
регионално	adverb	mkd	регионално	adverb	bul
доволно	adverb	mkd	достатъчно	adverb	bul
селективно	adverb	mkd	селективно	adverb	bul
соседно	adverb	mkd	съседно	adverb	bul
позитивно	adverb	mkd	позитивно	adverb	bul
долно	adverb	mkd	долно	adverb	bul
брутално	adverb	mkd	брутално	adverb	bul
санитарно	adverb	mkd	санитарно	adverb	bul
чудно	adverb	mkd	чудно	adverb	bul
вечно	adverb	mkd	вечно	adverb	bul
родено	adverb	mkd	родно	adverb	bul
предвремено	adverb	mkd	преждевременно	adverb	bul
предизборно	adverb	mkd	предизборно	adverb	bul
составено	adverb	mkd	съставно	adverb	bul
конечно	adverb	mkd	окончателно	adverb	bul
сериозно	adverb	mkd	сериозно	adverb	bul
изборно	adverb	mkd	изборно	adverb	bul
драстично	adverb	mkd	драстично	adverb	bul
немирно	adverb	mkd	немирно	adverb	bul
морално	adverb	mkd	морално	adverb	bul
автономно	adverb	mkd	автономно	adverb	bul
слободно	adverb	mkd	свободно	adverb	bul
реално	adverb	mkd	реално	adverb	bul
радикално	adverb	mkd	радикално	adverb	bul
жално	adverb	mkd	жално	adverb	bul
релативно	adverb	mkd	релативно	adverb	bul
релативно	adverb	mkd	относително	adverb	bul
агресивно	adverb	mkd	агресивно	adverb	bul
производно	adverb	mkd	производно	adverb	bul
важно	adverb	mkd	важно	adverb	bul
катастрофално	adverb	mkd	катастрофално	adverb	bul
лишено	adverb	mkd	лишено	adverb	bul
вистинско	adverb	mkd	действително	adverb	bul
благословено	adverb	mkd	благословно	adverb	bul
колективно	adverb	mkd	колективно	adverb	bul
значително	adverb	mkd	значително	adverb	bul
максимално	adverb	mkd	максимално	adverb	bul
проблематично	adverb	mkd	проблематично	adverb	bul
неуморно	adverb	mkd	неуморно	adverb	bul
енергично	adverb	mkd	енергично	adverb	bul
дефинитивно	adverb	mkd	дефинитивно	adverb	bul
постојно	adverb	mkd	постоянно	adverb	bul
пробно	adverb	mkd	пробно	adverb	bul
вчерашно	adverb	mkd	вчерашно	adverb	bul
интензивно	adverb	mkd	интензивно	adverb	bul
осигурително	adverb	mkd	осигурително	adverb	bul
автентично	adverb	mkd	автентично	adverb	bul
нелегално	adverb	mkd	нелегално	adverb	bul
активно	adverb	mkd	активно	adverb	bul
огромно	adverb	mkd	огромно	adverb	bul
индивидуално	adverb	mkd	индивидуално	adverb	bul
бавно	adverb	mkd	бавно	adverb	bul
вредно	adverb	mkd	вредно	adverb	bul
парламентарно	adverb	mkd	парламентарно	adverb	bul
интимно	adverb	mkd	интимно	adverb	bul
крупно	adverb	mkd	крупно	adverb	bul
пресечено	adverb	mkd	пресечно	adverb	bul
симпатично	adverb	mkd	симпатично	adverb	bul
пропагандно	adverb	mkd	пропагандно	adverb	bul
различно	adverb	mkd	различно	adverb	bul
скромно	adverb	mkd	скромно	adverb	bul
јавно	adverb	mkd	публично	adverb	bul
привремено	adverb	mkd	временно	adverb	bul
динамично	adverb	mkd	динамично	adverb	bul
театарско	adverb	mkd	театрално	adverb	bul
домашно	adverb	mkd	вътрешно	adverb	bul
државно	adverb	mkd	държавно	adverb	bul
итно	adverb	mkd	незабавно	adverb	bul
средновековно	adverb	mkd	средновековно	adverb	bul
ближно	adverb	mkd	ближно	adverb	bul
оперативно	adverb	mkd	оперативно	adverb	bul
прославено	adverb	mkd	прославно	adverb	bul
негативно	adverb	mkd	негативно	adverb	bul
природно	adverb	mkd	природно	adverb	bul
редовно	adverb	mkd	редовно	adverb	bul
меѓународно	adverb	mkd	международно	adverb	bul
моментално	adverb	mkd	моментално	adverb	bul
феноменално	adverb	mkd	феноменално	adverb	bul
можно	adverb	mkd	възможно	adverb	bul
видно	adverb	mkd	видно	adverb	bul
сегашно	adverb	mkd	сегашно	adverb	bul
утринско	adverb	mkd	сутрешно	adverb	bul
силно	adverb	mkd	силно	adverb	bul
народно	adverb	mkd	народно	adverb	bul
модерно	adverb	mkd	модерно	adverb	bul
мистериозно	adverb	mkd	мистериозно	adverb	bul
погрешно	adverb	mkd	погрешно	adverb	bul
идеално	adverb	mkd	идеално	adverb	bul
солидно	adverb	mkd	солидно	adverb	bul
критично	adverb	mkd	критично	adverb	bul
потребно	adverb	mkd	нужно	adverb	bul
земено	adverb	mkd	земно	adverb	bul
цивилно	adverb	mkd	цивилно	adverb	bul
дневно	adverb	mkd	ежедневно	adverb	bul
обично	adverb	mkd	обично	adverb	bul
емоционално	adverb	mkd	емоционално	adverb	bul
административно	adverb	mkd	административно	adverb	bul
полно	adverb	mkd	пълно	adverb	bul
хронично	adverb	mkd	хронично	adverb	bul
условно	adverb	mkd	условно	adverb	bul
одбранбено	adverb	mkd	отбранително	adverb	bul
невино	adverb	mkd	невинно	adverb	bul
подготвително	adverb	mkd	подготвително	adverb	bul
млечно	adverb	mkd	млечно	adverb	bul
избирачко	adverb	mkd	избирателно	adverb	bul
исклучително	adverb	mkd	изключително	adverb	bul
официјално	adverb	mkd	официално	adverb	bul
сложено	adverb	mkd	сложно	adverb	bul
заобиколено	adverb	mkd	заобиколно	adverb	bul
спорно	adverb	mkd	спорно	adverb	bul
северно	adverb	mkd	северно	adverb	bul
доверливо	adverb	mkd	надеждно	adverb	bul
оптимално	adverb	mkd	оптимално	adverb	bul
одговорно	adverb	mkd	отговорно	adverb	bul
гранично	adverb	mkd	гранично	adverb	bul
во просек	adverb	mkd	средно	adverb	bul
подвижно	adverb	mkd	подвижно	adverb	bul
информативно	adverb	mkd	информативно	adverb	bul
звучно	adverb	mkd	звучно	adverb	bul
типично	adverb	mkd	типично	adverb	bul
сексуално	adverb	mkd	сексуално	adverb	bul
црно	adverb	mkd	черно	adverb	bul
трагично	adverb	mkd	трагично	adverb	bul
слично	adverb	mkd	подобно	adverb	bul
обиколно	adverb	mkd	обиколно	adverb	bul
стабилно	adverb	mkd	стабилно	adverb	bul
прелиминарно	adverb	mkd	предварително	adverb	bul
медено	adverb	mkd	медно	adverb	bul
потенцијално	adverb	mkd	потенциално	adverb	bul
празно	adverb	mkd	празно	adverb	bul
повторно	adverb	mkd	повторно	adverb	bul
религиозно	adverb	mkd	религиозно	adverb	bul
отровно	adverb	mkd	отровно	adverb	bul
правилно	adverb	mkd	правилно	adverb	bul
мирно	adverb	mkd	мирно	adverb	bul
лично	adverb	mkd	лично	adverb	bul
врховно	adverb	mkd	върховно	adverb	bul
легендарно	adverb	mkd	легендарно	adverb	bul
контролно	adverb	mkd	контролно	adverb	bul
подземно	adverb	mkd	подземно	adverb	bul
континуирано	adverb	mkd	продължително	adverb	bul
професионално	adverb	mkd	професионално	adverb	bul
претставничко	adverb	mkd	представително	adverb	bul
источно	adverb	mkd	източно	adverb	bul
рекламно	adverb	mkd	рекламно	adverb	bul
горно	adverb	mkd	горно	adverb	bul
модно	adverb	mkd	модно	adverb	bul
оригинално	adverb	mkd	оригинално	adverb	bul
кристално	adverb	mkd	кристално	adverb	bul
персонално	adverb	mkd	персонално	adverb	bul
околно	adverb	mkd	околно	adverb	bul
срамно	adverb	mkd	срамно	adverb	bul
предно	adverb	mkd	предно	adverb	bul
монументално	adverb	mkd	монументално	adverb	bul
страшно	adverb	mkd	страшно	adverb	bul
обилно	adverb	mkd	обилно	adverb	bul
делумно	adverb	mkd	частично	adverb	bul
виновно	adverb	mkd	виновно	adverb	bul
интернационално	adverb	mkd	интернационално	adverb	bul
практично	adverb	mkd	практично	adverb	bul
барано	adverb	mkd	търсено	adverb	bul
билатерално	adverb	mkd	двустранно	adverb	bul
биометричко	adverb	mkd	биометрично	adverb	bul
бомбашко	adverb	mkd	бомбено	adverb	bul
бројно	adverb	mkd	многобройно	adverb	bul
изгледа	adverb	mkd	вероятно	adverb	bul
вклучено	adverb	mkd	включено	adverb	bul
владино	adverb	mkd	правителствено	adverb	bul
вооружено	adverb	mkd	въоръжено	adverb	bul
глобално	adverb	mkd	глобално	adverb	bul
годишно	adverb	mkd	годишно	adverb	bul
градежно	adverb	mkd	строително	adverb	bul
дадено	adverb	mkd	дадено	adverb	bul
даночно	adverb	mkd	данъчно	adverb	bul
дводневно	adverb	mkd	двудневно	adverb	bul
двојно	adverb	mkd	двойно	adverb	bul
директно	adverb	mkd	директно	adverb	bul
доделено	adverb	mkd	заделено	adverb	bul
дозволено	adverb	mkd	позволено	adverb	bul
долготрајно	adverb	mkd	дълготрайно	adverb	bul
елегантно	adverb	mkd	елегантно	adverb	bul
елитно	adverb	mkd	елитно	adverb	bul
енергетско	adverb	mkd	енергийно	adverb	bul
ефикасно	adverb	mkd	ефикасно	adverb	bul
животно	adverb	mkd	жизнено	adverb	bul
забрането	adverb	mkd	забранено	adverb	bul
завршено	adverb	mkd	завършено	adverb	bul
загрижено	adverb	mkd	загрижено	adverb	bul
заедничко	adverb	mkd	съвместно	adverb	bul
закажано	adverb	mkd	насрочено	adverb	bul
законодавно	adverb	mkd	законодателно	adverb	bul
западно	adverb	mkd	западно	adverb	bul
затворано	adverb	mkd	затворено	adverb	bul
заштитно	adverb	mkd	защитно	adverb	bul
зголемено	adverb	mkd	увеличено	adverb	bul
златно	adverb	mkd	златно	adverb	bul
извесно	adverb	mkd	известно	adverb	bul
извршено	adverb	mkd	извършено	adverb	bul
издадено	adverb	mkd	издадено	adverb	bul
имотно	adverb	mkd	имотно	adverb	bul
импозантно	adverb	mkd	импозантно	adverb	bul
инвестиционо	adverb	mkd	инвестиционно	adverb	bul
исполнето	adverb	mkd	изпълнено	adverb	bul
испратено	adverb	mkd	изпратено	adverb	bul
коалициско	adverb	mkd	коалиционно	adverb	bul
корисно	adverb	mkd	користно	adverb	bul
корпулентно	adverb	mkd	корпулентно	adverb	bul
крајно	adverb	mkd	крайно	adverb	bul
малцинско	adverb	mkd	малцинствено	adverb	bul
минутно	adverb	mkd	минутно	adverb	bul
мобилно	adverb	mkd	мобилно	adverb	bul
моментно	adverb	mkd	моментно	adverb	bul
посочено	adverb	mkd	посочено	adverb	bul
назначено	adverb	mkd	назначено	adverb	bul
намалено	adverb	mkd	намалено	adverb	bul
намерно	adverb	mkd	преднамерено	adverb	bul
направено	adverb	mkd	направено	adverb	bul
наречено	adverb	mkd	наречено	adverb	bul
насочено	adverb	mkd	насочено	adverb	bul
некоректно	adverb	mkd	некоректно	adverb	bul
нуклеарно	adverb	mkd	ядрено	adverb	bul
обвинето	adverb	mkd	обвинено	adverb	bul
одложено	adverb	mkd	отложено	adverb	bul
одобрено	adverb	mkd	одобрено	adverb	bul
опозиционо	adverb	mkd	опозиционно	adverb	bul
ослободено	adverb	mkd	освободено	adverb	bul
ослободително	adverb	mkd	освободително	adverb	bul
особено	adverb	mkd	особено	adverb	bul
осудено	adverb	mkd	осъдено	adverb	bul
отворено	adverb	mkd	отворено	adverb	bul
парично	adverb	mkd	парично	adverb	bul
партиско	adverb	mkd	партийно	adverb	bul
победоносно	adverb	mkd	победоносно	adverb	bul
подготвено	adverb	mkd	подготвено	adverb	bul
поделено	adverb	mkd	поделено	adverb	bul
подадено	adverb	mkd	подадено	adverb	bul
покането	adverb	mkd	поканено	adverb	bul
полноправно	adverb	mkd	пълноправно	adverb	bul
поставено	adverb	mkd	поставено	adverb	bul
починато	adverb	mkd	покойно	adverb	bul
правно	adverb	mkd	правно	adverb	bul
православно	adverb	mkd	православно	adverb	bul
преговарачко	adverb	mkd	преговорно	adverb	bul
предадено	adverb	mkd	предадено	adverb	bul
предвремено	adverb	mkd	предсрочно	adverb	bul
предложено	adverb	mkd	предложено	adverb	bul
прекрасно	adverb	mkd	прекрасно	adverb	bul
префрлено	adverb	mkd	прехвърлено	adverb	bul
преносно	adverb	mkd	преносно	adverb	bul
претставено	adverb	mkd	представено	adverb	bul
претходно	adverb	mkd	предходно	adverb	bul
приватно	adverb	mkd	частно	adverb	bul
најдено	adverb	mkd	намерено	adverb	bul
работно	adverb	mkd	работно	adverb	bul
раселено	adverb	mkd	разселено	adverb	bul
распределено	adverb	mkd	разпределено	adverb	bul
реформско	adverb	mkd	реформационно	adverb	bul
решено	adverb	mkd	решено	adverb	bul
ротациско	adverb	mkd	ротационно	adverb	bul
свечено	adverb	mkd	свещено	adverb	bul
ситно	adverb	mkd	ситно	adverb	bul
смртоносно	adverb	mkd	смъртоносно	adverb	bul
соодветно	adverb	mkd	адекватно	adverb	bul
сопствено	adverb	mkd	собствено	adverb	bul
сојузно	adverb	mkd	федерално	adverb	bul
тесно	adverb	mkd	тясно	adverb	bul
спортско	adverb	mkd	спортно	adverb	bul
имплементирано	adverb	mkd	осъществено	adverb	bul
судско	adverb	mkd	съдебно	adverb	bul
телевизиско	adverb	mkd	телевизионно	adverb	bul
телефонско	adverb	mkd	телефонно	adverb	bul
територијално	adverb	mkd	териториално	adverb	bul
терористичко	adverb	mkd	терористично	adverb	bul
транзитно	adverb	mkd	транзитно	adverb	bul
тридневно	adverb	mkd	тридневно	adverb	bul
трикратно	adverb	mkd	трикратно	adverb	bul
трипартитно	adverb	mkd	тристранно	adverb	bul
ужасно	adverb	mkd	ужасно	adverb	bul
уметничко	adverb	mkd	художествено	adverb	bul
уништено	adverb	mkd	разрушено	adverb	bul
уставно	adverb	mkd	уставно	adverb	bul
фер	adverb	mkd	честно	adverb	bul
често	adverb	mkd	често	adverb	bul
фискално	adverb	mkd	фискално	adverb	bul
создадено	adverb	mkd	създадено	adverb	bul
фудбалско	adverb	mkd	футболно	adverb	bul
функционално	adverb	mkd	функционално	adverb	bul
хуманитарно	adverb	mkd	хуманитарно	adverb	bul
јасно	adverb	mkd	ясно	adverb	bul
југоисточно	adverb	mkd	югоизточно	adverb	bul
јужно	adverb	mkd	южно	adverb	bul
актуелно	adverb	mkd	настоящо	adverb	bul
арт	adverb	mkd	арт	adverb	bul
брзо	adverb	mkd	бързо	adverb	bul
визно	adverb	mkd	визово	adverb	bul
високо	adverb	mkd	високо	adverb	bul
вкупно	adverb	mkd	общо	adverb	bul
управувајќи	adverb	mkd	управляващо	adverb	bul
водејќи	adverb	mkd	водещо	adverb	bul
диво	adverb	mkd	диво	adverb	bul
земено	adverb	mkd	взето	adverb	bul
друго	adverb	mkd	друго	adverb	bul
едноставно	adverb	mkd	просто	adverb	bul
екстрадирано	adverb	mkd	екстрадирано	adverb	bul
жестоко	adverb	mkd	жестоко	adverb	bul
заинтересирано	adverb	mkd	заинтересовано	adverb	bul
планирано	adverb	mkd	планирано	adverb	bul
законско	adverb	mkd	законово	adverb	bul
избрано	adverb	mkd	избрано	adverb	bul
познато	adverb	mkd	познато	adverb	bul
минато	adverb	mkd	минало	adverb	bul
искористено	adverb	mkd	използвано	adverb	bul
исто	adverb	mkd	също	adverb	bul
исчезнало	adverb	mkd	изчезнало	adverb	bul
клучно	adverb	mkd	ключово	adverb	bul
лажно	adverb	mkd	лъжливо	adverb	bul
масовно	adverb	mkd	масово	adverb	bul
меко	adverb	mkd	меко	adverb	bul
мировно	adverb	mkd	мироопазващо	adverb	bul
младо	adverb	mkd	младо	adverb	bul
наводно	adverb	mkd	предполагаемо	adverb	bul
надгледувано	adverb	mkd	наглеждано	adverb	bul
независно	adverb	mkd	независимо	adverb	bul
неопходно	adverb	mkd	необходимо	adverb	bul
ново	adverb	mkd	ново	adverb	bul
организирано	adverb	mkd	организирано	adverb	bul
осомничено	adverb	mkd	заподозряно	adverb	bul
останало	adverb	mkd	останало	adverb	bul
откриено	adverb	mkd	открито	adverb	bul
пензионирано	adverb	mkd	пенсионирано	adverb	bul
посакано	adverb	mkd	поискано	adverb	bul
поврзано	adverb	mkd	свързано	adverb	bul
потпишано	adverb	mkd	подписано	adverb	bul
право	adverb	mkd	право	adverb	bul
предводено	adverb	mkd	предвождано	adverb	bul
преземено	adverb	mkd	предприето	adverb	bul
прес	adverb	mkd	прес	adverb	bul
претстојно	adverb	mkd	предстоящо	adverb	bul
покажано	adverb	mkd	показано	adverb	bul
прифатено	adverb	mkd	прието	adverb	bul
присуствувајќи	adverb	mkd	присъстващо	adverb	bul
прифатливо	adverb	mkd	приемливо	adverb	bul
регистрирано	adverb	mkd	регистрирано	adverb	bul
само	adverb	mkd	само	adverb	bul
слабо	adverb	mkd	слабо	adverb	bul
следувајќи	adverb	mkd	следващо	adverb	bul
старо	adverb	mkd	старо	adverb	bul
решавајќи	adverb	mkd	решаващо	adverb	bul
тврдо	adverb	mkd	твърдо	adverb	bul
продолжувајќи	adverb	mkd	продължаващо	adverb	bul
тековно	adverb	mkd	текущо	adverb	bul
тапо	adverb	mkd	тъпо	adverb	bul
суво	adverb	mkd	сухо	adverb	bul
лево	adverb	mkd	ляво	adverb	bul
кружно	adverb	mkd	кръгло	adverb	bul
топло	adverb	mkd	топло	adverb	bul
уапсено	adverb	mkd	арестувано	adverb	bul
убиено	adverb	mkd	убито	adverb	bul
филмско	adverb	mkd	филмово	adverb	bul
фино	adverb	mkd	фино	adverb	bul
финансиско	adverb	mkd	финансово	adverb	bul
чисто	adverb	mkd	чисто	adverb	bul
широко	adverb	mkd	широко	adverb	bul
дебело	adverb	mkd	дебело	adverb	bul
кусо	adverb	mkd	късо	adverb	bul
свето	adverb	mkd	свято	adverb	bul
разно	adverb	mkd	разно	adverb	bul
велико	adverb	mkd	велико	adverb	bul
безбедносно	adverb	mkd	сигурностно	adverb	bul
структурно	adverb	mkd	структурно	adverb	bul
пазарно	adverb	mkd	пазарно	adverb	bul
службено	adverb	mkd	служебно	adverb	bul
еднострано	adverb	mkd	едностранно	adverb	bul
невозможно	adverb	mkd	невъзможно	adverb	bul
квадратно	adverb	mkd	квадратно	adverb	bul
доживотно	adverb	mkd	доживотно	adverb	bul
инфраструктурно	adverb	mkd	инфраструктурно	adverb	bul
прекугранично	adverb	mkd	трансгранично	adverb	bul
задржувано	adverb	mkd	задържано	adverb	bul
номинирано	adverb	mkd	номинирано	adverb	bul
апсолутно	adverb	mkd	абсолютно	adverb	bul
спонзорирано	adverb	mkd	спонсорирано	adverb	bul
мртво	adverb	mkd	мъртво	adverb	bul
постојно	adverb	mkd	постоянно	adverb	bul
рамковно	adverb	mkd	рамково	adverb	bul
окружно	adverb	mkd	окръжно	adverb	bul
самостојно	adverb	mkd	самостоятелно	adverb	bul
длабоко	adverb	mkd	дълбоко	adverb	bul
сиво	adverb	mkd	сиво	adverb	bul
еколошко	adverb	mkd	екологично	adverb	bul
музичко	adverb	mkd	музикално	adverb	bul
еднакво	adverb	mkd	еднакво	adverb	bul
еднодневно	adverb	mkd	еднодневно	adverb	bul
бригадно	adverb	mkd	бригадно	adverb	bul
взаемно	adverb	mkd	взаимно	adverb	bul
одржано	adverb	mkd	проведено	adverb	bul
еднострано	adverb	mkd	едностранно	adverb	bul
односно	adverb	mkd	съответно	adverb	bul
недвижно	adverb	mkd	недвижимо	adverb	bul
месечно	adverb	mkd	месечно	adverb	bul
сомнително	adverb	mkd	съмнително	adverb	bul
преизбрано	adverb	mkd	преизбрано	adverb	bul
образовно	adverb	mkd	образователно	adverb	bul
неформално	adverb	mkd	неофициално	adverb	bul
чешко	adverb	mkd	чешко	adverb	bul
борбено	adverb	mkd	бойно	adverb	bul
смртно	adverb	mkd	смъртно	adverb	bul
железничко	adverb	mkd	железопътно	adverb	bul
воздухопловно	adverb	mkd	въздухоплавателно	adverb	bul
одржливо	adverb	mkd	устойчиво	adverb	bul
неприфатливо	adverb	mkd	неприемливо	adverb	bul
невработено	adverb	mkd	безработно	adverb	bul
трајно	adverb	mkd	трайно	adverb	bul
индиректно	adverb	mkd	индиректно	adverb	bul
медиумско	adverb	mkd	медийно	adverb	bul
строго	adverb	mkd	строго	adverb	bul
нето	adverb	mkd	нетно	adverb	bul
паравоено	adverb	mkd	паравоенно	adverb	bul
рачно	adverb	mkd	ръчно	adverb	bul
самопрогласено	adverb	mkd	самопровъзгласно	adverb	bul
традиционално	adverb	mkd	традиционно	adverb	bul
Аро	properNoun	mkd	Аро	properNoun	bul
Бета	properNoun	mkd	Бета	properNoun	bul
Блиц	properNoun	mkd	Блиц	properNoun	bul
Ватан	properNoun	mkd	Ватан	properNoun	bul
Вечерњи	properNoun	mkd	Вечерни	properNoun	bul
Википедија	properNoun	mkd	Уикипедия	properNoun	bul
Вијести	properNoun	mkd	Виести	properNoun	bul
Вјесник	properNoun	mkd	Весник	properNoun	bul
Гардијан	properNoun	mkd	Гардиън	properNoun	bul
Данас	properNoun	mkd	Данас	properNoun	bul
Дарик	properNoun	mkd	Дарик	properNoun	bul
Дневник	properNoun	mkd	Дневник	properNoun	bul
Дојче	properNoun	mkd	Дойче	properNoun	bul
Евениментул	properNoun	mkd	Евениментул	properNoun	bul
Експрес	properNoun	mkd	Експрес	properNoun	bul
Ергенекон	properNoun	mkd	Ергенекон	properNoun	bul
Еуроњус	properNoun	mkd	Евронюз	properNoun	bul
Заман	properNoun	mkd	Заман	properNoun	bul
Зери	properNoun	mkd	Зери	properNoun	bul
Индипендант	properNoun	mkd	Индипендънт	properNoun	bul
Интерпол	properNoun	mkd	Интерпол	properNoun	bul
Катимерини	properNoun	mkd	Катимерини	properNoun	bul
Косова	properNoun	mkd	Косова	properNoun	bul
Кохајоне	properNoun	mkd	Коха Йоне	properNoun	bul
Ксинхуа	properNoun	mkd	Синхуа	properNoun	bul
Макфакс	properNoun	mkd	Макфакс	properNoun	bul
Мајкрософт	properNoun	mkd	Майкрософт	properNoun	bul
Медиапул	properNoun	mkd	Медиапул	properNoun	bul
Медиафакс	properNoun	mkd	Медиафакс	properNoun	bul
Милијет	properNoun	mkd	Милиет	properNoun	bul
Монитор	properNoun	mkd	Монитор	properNoun	bul
Нафтемборики	properNoun	mkd	Нафтемборики	properNoun	bul
Независне	properNoun	mkd	Независне	properNoun	bul
Олимпик	properNoun	mkd	Олимпик	properNoun	bul
Побједа	properNoun	mkd	Победа	properNoun	bul
Радикал	properNoun	mkd	Радикал	properNoun	bul
Реалитатеа	properNoun	mkd	Реалитатеа	properNoun	bul
Ромпрес	properNoun	mkd	Ромпрес	properNoun	bul
Ројтерс	properNoun	mkd	Ройтерс	properNoun	bul
Сега	properNoun	mkd	Сега	properNoun	bul
Танјуг	properNoun	mkd	Танюг	properNoun	bul
Тркиш	properNoun	mkd	Търкиш	properNoun	bul
Турк	properNoun	mkd	Турк	properNoun	bul
Фена	properNoun	mkd	Фена	properNoun	bul
Фокус	properNoun	mkd	Фокус	properNoun	bul
Фонет	properNoun	mkd	Фонет	properNoun	bul
Хуријет	properNoun	mkd	Хюриет	properNoun	bul
Шекули	properNoun	mkd	Шекули	properNoun	bul
Шкип	properNoun	mkd	Шкип	properNoun	bul
газете	properNoun	mkd	газет	properNoun	bul
ерлајнс	properNoun	mkd	еърлайнс	properNoun	bul
инсајт	properNoun	mkd	инсайт	properNoun	bul
ченал	properNoun	mkd	ченъл	properNoun	bul
јавности	properNoun	mkd	явности	properNoun	bul
Ал Каеда	properNoun	mkd	Ал-Кайда	properNoun	bul
Дневни аваз	properNoun	mkd	Дневни Аваз	properNoun	bul
Интернешнал хералд трибјун	properNoun	mkd	Интърнешънъл Хералд Трибюн	properNoun	bul
Коха Диторе	properNoun	mkd	Коха диторе	properNoun	bul
НТВ Хајат	properNoun	mkd	НТВ Хаят	properNoun	bul
Независне новине	properNoun	mkd	Независне Новине	properNoun	bul
РИА Новости	properNoun	mkd	РИА Новости	properNoun	bul
СНН Турк	properNoun	mkd	Си Ен Ен Търк	properNoun	bul
Стандард и Пур	properNoun	mkd	Стандарт и Пуърс	properNoun	bul
Јап	properNoun	mkd	Яп	properNoun	bul
Јашар	properNoun	mkd	Яшар	properNoun	bul
Јоаким	properNoun	mkd	Йоаким	properNoun	bul
Јован	properNoun	mkd	Йован	properNoun	bul
Јон	properNoun	mkd	Йон	properNoun	bul
Јоргос	properNoun	mkd	Йоргос	properNoun	bul
Јордан	properNoun	mkd	Йордан	properNoun	bul
Џејмс	properNoun	mkd	Джеимс	properNoun	bul
Џоана	properNoun	mkd	Джоана	properNoun	bul
Јадранка	properNoun	mkd	Ядранка	properNoun	bul
Џон	properNoun	mkd	Джон	properNoun	bul
Џорџ	properNoun	mkd	Джордж	properNoun	bul
Абдула	properNoun	mkd	Абдула	properNoun	bul
Агим	properNoun	mkd	Агим	properNoun	bul
Ади	properNoun	mkd	Ади	properNoun	bul
Аднан	properNoun	mkd	Аднан	properNoun	bul
Адријан	properNoun	mkd	Адриан	properNoun	bul
Александар	properNoun	mkd	Александър	properNoun	bul
Али	properNoun	mkd	Али	properNoun	bul
Алфред	properNoun	mkd	Алфред	properNoun	bul
Ана	properNoun	mkd	Ана	properNoun	bul
Анте	properNoun	mkd	Анте	properNoun	bul
Антонио	properNoun	mkd	Антонио	properNoun	bul
Ахмет	properNoun	mkd	Ахмет	properNoun	bul
Бамир	properNoun	mkd	Бамир	properNoun	bul
Бајрам	properNoun	mkd	Байрам	properNoun	bul
Бет	properNoun	mkd	Бет	properNoun	bul
Божидар	properNoun	mkd	Божидар	properNoun	bul
Борис	properNoun	mkd	Борис	properNoun	bul
Бојко	properNoun	mkd	Бойко	properNoun	bul
Бранко	properNoun	mkd	Бранко	properNoun	bul
Венцислав	properNoun	mkd	Венцислав	properNoun	bul
Веселин	properNoun	mkd	Веселин	properNoun	bul
Весна	properNoun	mkd	Весна	properNoun	bul
Владимир	properNoun	mkd	Владимир	properNoun	bul
Владислав	properNoun	mkd	Владислав	properNoun	bul
Владо	properNoun	mkd	Владо	properNoun	bul
Воислав	properNoun	mkd	Воислав	properNoun	bul
Вук	properNoun	mkd	Вук	properNoun	bul
Гео	properNoun	mkd	Гео	properNoun	bul
Георги	properNoun	mkd	Георги	properNoun	bul
Горан	properNoun	mkd	Горан	properNoun	bul
Давор	properNoun	mkd	Давор	properNoun	bul
Даглас	properNoun	mkd	Дъглас	properNoun	bul
Деметрис	properNoun	mkd	Деметрис	properNoun	bul
Дејан	properNoun	mkd	Деян	properNoun	bul
Дејвид	properNoun	mkd	Дейвид	properNoun	bul
Димитрис	properNoun	mkd	Димитрис	properNoun	bul
Димитриј	properNoun	mkd	Димитрий	properNoun	bul
Димитър	properNoun	mkd	Димитър	properNoun	bul
Доналд	properNoun	mkd	Доналд	properNoun	bul
Дора	properNoun	mkd	Дора	properNoun	bul
Драган	properNoun	mkd	Драган	properNoun	bul
Душан	properNoun	mkd	Душан	properNoun	bul
Едуард	properNoun	mkd	Едуард	properNoun	bul
Емил	properNoun	mkd	Емил	properNoun	bul
Жак	properNoun	mkd	Жак	properNoun	bul
Жан	properNoun	mkd	Жан	properNoun	bul
Жељко	properNoun	mkd	Желко	properNoun	bul
Жозе	properNoun	mkd	Жозе	properNoun	bul
Зоран	properNoun	mkd	Зоран	properNoun	bul
Ибрахим	properNoun	mkd	Ибрахим	properNoun	bul
Иван	properNoun	mkd	Иван	properNoun	bul
Ивајло	properNoun	mkd	Ивайло	properNoun	bul
Ивица	properNoun	mkd	Ивица	properNoun	bul
Иво	properNoun	mkd	Иво	properNoun	bul
Иги	properNoun	mkd	Иги	properNoun	bul
Игор	properNoun	mkd	Игор	properNoun	bul
Илинка	properNoun	mkd	Илинка	properNoun	bul
Илир	properNoun	mkd	Илир	properNoun	bul
Илия	properNoun	mkd	Илия	properNoun	bul
Калин	properNoun	mkd	Калин	properNoun	bul
Карл	properNoun	mkd	Карл	properNoun	bul
Карла	properNoun	mkd	Карла	properNoun	bul
Каролос	properNoun	mkd	Каролос	properNoun	bul
Кемал	properNoun	mkd	Кемал	properNoun	bul
