"France"-properNoun-fr "Francia"-properNoun-es
"Air"-properNoun-fr "Air"-properNoun-es
"soulever le coeur"-verb-fr "revolver el estómago"-verb-es
"luxure"-noun-fr "lujuria"-noun-es
"teriyaki"-properNoun-fr "teriyaki"-properNoun-es
"Mazda"-properNoun-fr "Mazda"-properNoun-es
"Saint-Etienne"-properNoun-fr "Saint-Etienne"-properNoun-es
"échafaudage"-noun-fr "andamio"-noun-es
"Arruabarrena"-properNoun-fr "Arruabarrena"-properNoun-es
"boutique"-noun-fr "tienda"-noun-es
"Simula"-properNoun-fr "Simula"-properNoun-es
"planétarium"-noun-fr "planetarium"-noun-es
"planétarium"-noun-fr "planetario"-noun-es
"Pineda"-properNoun-fr "Pineda"-properNoun-es
"examen d'entrée"-noun-fr "examen de ingreso"-noun-es
"Guigou"-properNoun-fr "Guigou"-properNoun-es
"Llobregat"-properNoun-fr "Llobregat"-properNoun-es
"Stalinabad"-properNoun-fr "Dushambe"-properNoun-es
"profondeur"-noun-fr "profundidad"-noun-es
"XVIème"-adjective-fr "XVI"-adjective-es
"Román"-properNoun-fr "Román"-properNoun-es
"répertoire des rues"-noun-fr "callejero"-noun-es
"Brottes"-properNoun-fr "Brottes"-properNoun-es
"John Howard"-properNoun-fr "John Howard"-properNoun-es
"clavier"-noun-fr "teclado"-noun-es
"esthétiquement"-adverb-fr "estéticamente"-adverb-es
"guitare"-noun-fr "guitarra"-noun-es
"parachutiste"-adjective-fr "paracaidista"-adjective-es
"consister à"-verb-fr "consistir en"-verb-es
"indicatif"-adjective-fr "orientativo"-adjective-es
"tiers"-noun-fr "tercio"-noun-es
"désorientation"-noun-fr "desorientación"-noun-es
"braderie"-noun-fr "mercadillo"-noun-es
"opportun"-adjective-fr "oportuno"-adjective-es
"lier"-verb-fr "vincular"-verb-es
"lier"-verb-fr "ligar"-verb-es
"lier"-verb-fr "relacionar"-verb-es
"serveur"-noun-fr "servidor"-noun-es
"Agirretxe"-properNoun-fr "Agirretxe"-properNoun-es
"King"-properNoun-fr "King"-properNoun-es
"biodiversité"-noun-fr "biodiversidad"-noun-es
"Anzéré"-properNoun-fr "Anzéré"-properNoun-es
"militer"-verb-fr "militar"-verb-es
"intervention"-noun-fr "intervención"-noun-es
"interne"-adjective-fr "interno"-adjective-es
"Iztueta"-properNoun-fr "Iztueta"-properNoun-es
"léger"-adjective-fr "liviano"-adjective-es
"léger"-adjective-fr "ligero"-adjective-es
"léger"-adjective-fr "leve"-adjective-es
"en bas"-adverb-fr "abajo"-adverb-es
"prix de vente au public"-noun-fr "precio de venta al público"-noun-es
"Corée du Nord"-properNoun-fr "Corea del Norte"-properNoun-es
"Malabo"-properNoun-fr "Malabo"-properNoun-es
"russe"-adjective-fr "ruso"-adjective-es
"univers"-noun-fr "universo"-noun-es
"Power"-properNoun-fr "Power"-properNoun-es
"projectif"-adjective-fr "proyectivo"-adjective-es
"Petit"-properNoun-fr "Petit"-properNoun-es
"disposition"-noun-fr "disposición"-noun-es
"licite"-adjective-fr "lícito"-adjective-es
"exemplaire"-adjective-fr "ejemplar"-adjective-es
"passage"-noun-fr "pasaje"-noun-es
"londonien"-noun-fr "londinense"-noun-es
"Mouammar Kadhafi"-properNoun-fr "Muammar al-Gaddafi"-properNoun-es
"handball"-noun-fr "balonmano"-noun-es
"Hariri"-properNoun-fr "Hariri"-properNoun-es
"envers"-noun-fr "revés"-noun-es
"Zagreb"-properNoun-fr "Zagreb"-properNoun-es
"fusée"-noun-fr "bengala"-noun-es
"Larburu"-properNoun-fr "Larburu"-properNoun-es
"scinder"-verb-fr "escindir"-verb-es
"Bible"-properNoun-fr "Biblia"-properNoun-es
"sectarisme"-noun-fr "sectarismo"-noun-es
"Taureau"-properNoun-fr "Tauro"-properNoun-es
"Cambodge"-properNoun-fr "Camboya"-properNoun-es
"coefficient de réduction"-noun-fr "coeficiente reductor"-noun-es
"auparavant"-adverb-fr "antes"-adverb-es
"offrir"-verb-fr "regalar"-verb-es
"offrir"-verb-fr "deparar"-verb-es
"offrir"-verb-fr "ofrecer"-verb-es
"offrir"-verb-fr "obsequiar"-verb-es
"offrir"-verb-fr "ofertar"-verb-es
"Wong"-properNoun-fr "Wong"-properNoun-es
"délibérément"-adverb-fr "deliberadamente"-adverb-es
"Laguiller"-properNoun-fr "Laguiller"-properNoun-es
"Acebes"-properNoun-fr "Acebes"-properNoun-es
"Albéniz"-properNoun-fr "Albéniz"-properNoun-es
"ardent"-adjective-fr "ardiente"-adjective-es
"Julien"-properNoun-fr "Julien"-properNoun-es
"Yeste"-properNoun-fr "Yeste"-properNoun-es
"Lenbur"-properNoun-fr "Lenbur"-properNoun-es
"langagier"-adjective-fr "lingüístico"-adjective-es
"supporters"-noun-fr "afición"-noun-es
"a posteriori"-adverb-fr "a posteriori"-adverb-es
"ponctuel"-adjective-fr "puntual"-adjective-es
"Goldman"-properNoun-fr "Goldman"-properNoun-es
"Lemercier"-properNoun-fr "Lemercier"-properNoun-es
"dte"-noun-fr "dcha"-noun-es
"bru"-noun-fr "nuera"-noun-es
"Amegrove"-properNoun-fr "Amegrove"-properNoun-es
"génial"-adjective-fr "genial"-adjective-es
"Klarsfeld"-properNoun-fr "Klarsfeld"-properNoun-es
"plastique"-noun-fr "plástico"-noun-es
"dissertation"-noun-fr "disertación"-noun-es
"mer d'Azov"-properNoun-fr "Mar de Azov"-properNoun-es
"Hauts-de-Seine"-properNoun-fr "Hauts-de-Seine"-properNoun-es
"Hauts-de-Seine"-properNoun-fr "Altos del Sena"-properNoun-es
"Washington"-properNoun-fr "Washington"-properNoun-es
"concentrer"-verb-fr "concentrar"-verb-es
"bleu"-adjective-fr "azul"-adjective-es
"marché des devises"-noun-fr "mercado de divisas"-noun-es
"débarquement"-noun-fr "desembarco"-noun-es
"obligatoirement"-adverb-fr "obligadamente"-adverb-es
"nord"-noun-fr "norte"-noun-es
"Mariasun"-properNoun-fr "Mariasun"-properNoun-es
"foral"-adjective-fr "foral"-adjective-es
"logo"-noun-fr "logo"-noun-es
"Côte-d'Or"-properNoun-fr "Côte-d'Or"-properNoun-es
"Côte-d'Or"-properNoun-fr "Costa de Oro"-properNoun-es
"jersey"-noun-fr "jersey"-noun-es
"Angola"-properNoun-fr "Angola"-properNoun-es
"rafale"-noun-fr "racha"-noun-es
"rafale"-noun-fr "ráfaga"-noun-es
"affluence"-noun-fr "afluencia"-noun-es
"dissociation"-noun-fr "disociación"-noun-es
"chrétien"-adjective-fr "cristiano"-adjective-es
"CRO"-noun-fr "CRO"-noun-es
"cheval"-noun-fr "caballo"-noun-es
"abolition"-noun-fr "abolición"-noun-es
"lustration"-noun-fr "lustración"-noun-es
"déficience motrice"-noun-fr "discapacidad motora"-noun-es
"fragment"-noun-fr "fragmento"-noun-es
"ainsi qu'il appartiendra"-adverb-fr "según proceda"-adverb-es
"conjuration"-noun-fr "conjuración"-noun-es
"égyptien"-adjective-fr "egipcio"-adjective-es
"polluant"-adjective-fr "contaminante"-adjective-es
"Gascogne"-properNoun-fr "Gascuña"-properNoun-es
"Bruesa"-properNoun-fr "Bruesa"-properNoun-es
"affliger"-verb-fr "afligir"-verb-es
"affliger"-verb-fr "aquejar"-verb-es
"affliger"-verb-fr "apenar"-verb-es
"municipal"-adjective-fr "municipal"-adjective-es
"Postiguet"-properNoun-fr "Postiguet"-properNoun-es
"peinture"-noun-fr "pintura"-noun-es
"Pozuelo"-properNoun-fr "Pozuelo"-properNoun-es
"parafinancier"-adjective-fr "parafinanciero"-adjective-es
"affectueux"-adjective-fr "cariñoso"-adjective-es
"affectueux"-adjective-fr "amoroso"-adjective-es
"Agrigente"-properNoun-fr "Agrigento"-properNoun-es
"cage"-noun-fr "jaula"-noun-es
"à coups de"-preposition-fr "a golpes de"-preposition-es
"intituler"-verb-fr "titular"-verb-es
"Principauté des Asturies"-properNoun-fr "Prinicipado de Asturias"-properNoun-es
"précipice"-noun-fr "precipicio"-noun-es
"Larreina"-properNoun-fr "Larreina"-properNoun-es
"arme"-noun-fr "arma"-noun-es
"voir trente-six chandelles"-verb-fr "ver las estrellas"-verb-es
"poursuite"-noun-fr "persecución"-noun-es
"printemps"-noun-fr "primavera"-noun-es
"Shanghai"-properNoun-fr "Shangai"-properNoun-es
"protocole"-noun-fr "protocolo"-noun-es
"Club de rame de Hondarribi"-properNoun-fr "Hondarribiko Arraun Elkartea"-properNoun-es
"acier"-noun-fr "acero"-noun-es
"collier"-noun-fr "collar"-noun-es
"Kornel"-properNoun-fr "Kornel"-properNoun-es
"Sierra Leone"-properNoun-fr "Sierra Leona"-properNoun-es
"anti-inflammatoire"-noun-fr "antiinflamatorio"-noun-es
"Landaben"-properNoun-fr "Landaben"-properNoun-es
"initialiser"-verb-fr "inicializar"-verb-es
"mensuel"-adjective-fr "mensual"-adjective-es
"serrurier"-noun-fr "cerrajero"-noun-es
"Champagne-Ardennes"-properNoun-fr "Champaña-Ardenas"-properNoun-es
"schéma"-noun-fr "esquema"-noun-es
"abondant"-adjective-fr "abundante"-adjective-es
"Première Guerre mondiale"-properNoun-fr "Primera Guerra mundial"-properNoun-es
"ravitaillement"-noun-fr "abastecimiento"-noun-es
"musicalement"-adverb-fr "musicalmente"-adverb-es
"enlever"-verb-fr "quitar"-verb-es
"enlever"-verb-fr "sacar"-verb-es
"enlever"-verb-fr "raptar"-verb-es
"Aniko"-properNoun-fr "Aniko"-properNoun-es
"pharmacien"-noun-fr "farmacéutico"-noun-es
"homonymie"-noun-fr "homonimia"-noun-es
"paradigme"-noun-fr "paradigma"-noun-es
"curiosité"-noun-fr "curiosidad"-noun-es
"Sofac"-properNoun-fr "Sofac"-properNoun-es
"propre"-adjective-fr "propio"-adjective-es
"Soudan"-properNoun-fr "Sudán"-properNoun-es
"Anje"-properNoun-fr "Anje"-properNoun-es
"revolver"-noun-fr "revólver"-noun-es
"composant"-noun-fr "componente"-noun-es
"analogue"-adjective-fr "análogo"-adjective-es
"Afrique australe"-properNoun-fr "África austral"-properNoun-es
"réducteur"-adjective-fr "reductor"-adjective-es
"djihad"-noun-fr "yihad"-noun-es
"lequel"-relativePronoun-fr "el cual"-relativePronoun-es
"Edward Fenech Adami"-properNoun-fr "Eddie Fenech Adami"-properNoun-es
"payer au comptant"-verb-fr "pagar al contado"-verb-es
"Gênes"-properNoun-fr "Génova"-properNoun-es
"pastoral"-adjective-fr "pastoral"-adjective-es
"immobilité"-noun-fr "inmovilidad"-noun-es
"serrement"-noun-fr "apretón"-noun-es
"Bourgogne"-properNoun-fr "Borgoña"-properNoun-es
"contrat de vente"-noun-fr "contrato de compraventa"-noun-es
"inquiétude"-noun-fr "inquietud"-noun-es
"propriétaire"-adjective-fr "propietario"-adjective-es
"affecter"-verb-fr "afectar"-verb-es
"peinturer"-verb-fr "pintar"-verb-es
"fertilisation"-noun-fr "fertilización"-noun-es
"muscle-tendineux"-adjective-fr "musculotendinoso"-adjective-es
"encyclopédie"-noun-fr "enciclopedia"-noun-es
"rentabiliser"-verb-fr "rentabilizar"-verb-es
"EST"-noun-fr "EST"-noun-es
"Zuasti"-properNoun-fr "Zuasti"-properNoun-es
"Chine"-properNoun-fr "China"-properNoun-es
"amaigrir"-verb-fr "adelgazar"-verb-es
"désorganisation"-noun-fr "desorganización"-noun-es
"Majuro"-properNoun-fr "Majuro"-properNoun-es
"crochet"-noun-fr "gancho"-noun-es
"Britney Spears"-properNoun-fr "Britney Spears"-properNoun-es
"Haïfa"-properNoun-fr "Haifa"-properNoun-es
"Atutxa"-properNoun-fr "Atutxa"-properNoun-es
"Sarasola"-properNoun-fr "Sarasola"-properNoun-es
"moustache"-noun-fr "bigote"-noun-es
"mise en examen"-noun-fr "imputación"-noun-es
"blâmer"-verb-fr "culpar"-verb-es
"Alvaro"-properNoun-fr "Alvaro"-properNoun-es
"Médine"-properNoun-fr "Medina"-properNoun-es
"vérité"-noun-fr "verdad"-noun-es
"déranger"-verb-fr "molestar"-verb-es
"atelier"-noun-fr "taller"-noun-es
"confection"-noun-fr "confección"-noun-es
"Verónica"-properNoun-fr "Verónica"-properNoun-es
"allégement"-noun-fr "bonificación"-noun-es
"informations"-noun-fr "noticiero"-noun-es
"préparateur"-noun-fr "practicante"-noun-es
"Argiñano"-properNoun-fr "Argiñano"-properNoun-es
"somalien"-adjective-fr "somalí"-adjective-es
"panier"-noun-fr "canasta"-noun-es
"à des marches forcées"-adverb-fr "a marchas forzadas"-adverb-es
"tous les deux"-pronoun-fr "ambos"-pronoun-es
"revenu variable"-noun-fr "renta variable"-noun-es
"Almenar"-properNoun-fr "Almenar"-properNoun-es
"Goya"-properNoun-fr "Goya"-properNoun-es
"plaire"-verb-fr "agradar"-verb-es
"plaire"-verb-fr "gustar"-verb-es
"x"-noun-fr "x"-noun-es
"coagulation"-noun-fr "coagulación"-noun-es
"incrimination"-noun-fr "incriminación"-noun-es
"Terre-Neuve"-properNoun-fr "Terranova"-properNoun-es
"grammaire"-noun-fr "gramática"-noun-es
"chaud"-adjective-fr "caliente"-adjective-es
"Noemí"-properNoun-fr "Noemí"-properNoun-es
"Amunarriz"-properNoun-fr "Amunarriz"-properNoun-es
"piger"-verb-fr "entender"-verb-es
"tortu"-adjective-fr "torcido"-adjective-es
"besogner"-verb-fr "atarear"-verb-es
"péninsule d'Alaska"-properNoun-fr "Península de Alaska"-properNoun-es
"interposer"-verb-fr "interponer"-verb-es
"baser sur"-verb-fr "basar en"-verb-es
"Giner"-properNoun-fr "Giner"-properNoun-es
"Antelo"-properNoun-fr "Antelo"-properNoun-es
"commandement de départ"-noun-fr "orden de salida"-noun-es
"livre comptable"-noun-fr "libro de contabilidad"-noun-es
"réaliser"-verb-fr "realizar"-verb-es
"Aldana"-properNoun-fr "Aldana"-properNoun-es
"empan"-noun-fr "palmo"-noun-es
"broyer du noir"-verb-fr "tener ideas negras"-verb-es
"Angeles"-properNoun-fr "Angeles"-properNoun-es
"composante"-noun-fr "componente"-noun-es
"rétine"-noun-fr "retina"-noun-es
"curé"-noun-fr "cura"-noun-es
"Anquetil"-properNoun-fr "Anquetil"-properNoun-es
"Achille"-properNoun-fr "Aquiles"-properNoun-es
"Achille"-properNoun-fr "Achille"-properNoun-es
"pourquoi"-noun-fr "porqué"-noun-es
"classificatoire"-adjective-fr "clasificatorio"-adjective-es
"salon de coiffure"-noun-fr "peluquería"-noun-es
"El Niño"-properNoun-fr "El Niño"-properNoun-es
"gardien"-noun-fr "cuidador"-noun-es
"gardien"-noun-fr "guardián"-noun-es
"rapidité"-noun-fr "rapidez"-noun-es
"islamophobie"-noun-fr "islamofobia"-noun-es
"menacer"-verb-fr "amenazar"-verb-es
"instabilité"-noun-fr "inestabilidad"-noun-es
"propos"-noun-fr "propósito"-noun-es
"vérifier"-verb-fr "verificar"-verb-es
"vérifier"-verb-fr "comprobar"-verb-es
"vérifier"-verb-fr "bastantear"-verb-es
"angle"-noun-fr "ángulo"-noun-es
"indonésien"-adjective-fr "indonesio"-adjective-es
"Abenza"-properNoun-fr "Abenza"-properNoun-es
"formatif"-adjective-fr "formativo"-adjective-es
"plan d'aide à l'investissement"-noun-fr "PAI"-noun-es
"rendre"-verb-fr "devolver"-verb-es
"rendre"-verb-fr "rendir"-verb-es
"cantinier"-noun-fr "cantinero"-noun-es
"Benkimoun"-properNoun-fr "Benkimoun"-properNoun-es
"chômé"-adjective-fr "inhábil"-adjective-es
"chômé"-adjective-fr "festivo"-adjective-es
"déplacer"-verb-fr "trasladar"-verb-es
"déplacer"-verb-fr "desplazar"-verb-es
"Duménil"-properNoun-fr "Duménil"-properNoun-es
"Asie"-properNoun-fr "Asia"-properNoun-es
"infatigable"-adjective-fr "incansable"-adjective-es
"saucisse"-noun-fr "longaniza"-noun-es
"saucisse"-noun-fr "salchicha"-noun-es
"trivial"-adjective-fr "trivial"-adjective-es
"Puy-de-Dôme"-properNoun-fr "Puy-de-Dôme"-properNoun-es
"significatif"-adjective-fr "significativo"-adjective-es
"ANGED"-noun-fr "ANGED"-noun-es
"Antxieta"-properNoun-fr "Antxieta"-properNoun-es
"Nicolas Sarkozy"-properNoun-fr "Nicolas Sarkozy"-properNoun-es
"être soumis"-verb-fr "estar sujeto"-verb-es
"de commerce et de gestion"-adjective-fr "empresarial"-adjective-es
"Jean-Baptiste"-properNoun-fr "Jean-Baptiste"-properNoun-es
"ADEGI"-noun-fr "ADEGI"-noun-es
"Méditerranée"-properNoun-fr "Mediterráneo"-properNoun-es
"boule"-noun-fr "bola"-noun-es
"durabilité"-noun-fr "perdurabilidad"-noun-es
"durabilité"-noun-fr "sostenibilidad"-noun-es
"durabilité"-noun-fr "durabilidad"-noun-es
"à ce moment-là"-adverb-fr "en aquel momento"-adverb-es
"guide officiel"-noun-fr "guía oficial"-noun-es
"désormais"-adverb-fr "a partir de ahora"-adverb-es
"Arrecife"-properNoun-fr "Arrecife"-properNoun-es
"fracture"-noun-fr "fractura"-noun-es
"amuser"-verb-fr "divertir"-verb-es
"amuser"-verb-fr "disfrutar"-verb-es
"croyance"-noun-fr "creencia"-noun-es
"membre"-noun-fr "integrante"-noun-es
"membre"-noun-fr "miembro"-noun-es
"perdurer"-verb-fr "perdurar"-verb-es
"confortablement"-adverb-fr "cómodamente"-adverb-es
"balai"-noun-fr "escoba"-noun-es
"nº"-noun-fr "nº"-noun-es
"maison d'édition"-noun-fr "editorial"-noun-es
"anticyclone"-noun-fr "anticiclón"-noun-es
"dépôt de fonds"-noun-fr "depósito de fondos"-noun-es
"motocyclette"-noun-fr "motocicleta"-noun-es
"Amérique du Sud"-properNoun-fr "América del Sur"-properNoun-es
"Amérique du Sud"-properNoun-fr "Suramérica"-properNoun-es
"Amérique du Sud"-properNoun-fr "Sudamérica"-properNoun-es
"équitation"-noun-fr "equitación"-noun-es
"Fuster"-properNoun-fr "Fuster"-properNoun-es
"ondoyer"-verb-fr "ondear"-verb-es
"International Lease Finance Corporation"-properNoun-fr "International Lease Finance Corporation"-properNoun-es
"bronze"-noun-fr "bronce"-noun-es
"Lebaniego"-properNoun-fr "Lebaniego"-properNoun-es
"respectif"-adjective-fr "respectivo"-adjective-es
"reprendre son soufle"-verb-fr "tomar aliento"-verb-es
"gestion"-noun-fr "gestión"-noun-es
"citation"-noun-fr "cita"-noun-es
"Chaumont"-properNoun-fr "Chaumont"-properNoun-es
"Lufthansa"-properNoun-fr "Lufthansa"-properNoun-es
"Caunes"-properNoun-fr "Caunes"-properNoun-es
"amnésique"-adjective-fr "amnésico"-adjective-es
"réfractaire"-adjective-fr "rebelde"-adjective-es
"superficiel"-adjective-fr "superficial"-adjective-es
"scandinave"-adjective-fr "escandinavo"-adjective-es
"Discovery"-properNoun-fr "Discovery"-properNoun-es
"Roseau"-properNoun-fr "Roseau"-properNoun-es
"mouvement"-noun-fr "movimiento"-noun-es
"promotion"-noun-fr "fomento"-noun-es
"promotion"-noun-fr "promoción"-noun-es
"habitabilité"-noun-fr "habitabilidad"-noun-es
"Amatza"-properNoun-fr "Amatza"-properNoun-es
"Alasdair"-properNoun-fr "Alasdair"-properNoun-es
"Alost"-properNoun-fr "Aalst"-properNoun-es
"arrivée"-noun-fr "llegada"-noun-es
"rhume"-noun-fr "resfriado"-noun-es
"rhume"-noun-fr "catarro"-noun-es
"lest"-noun-fr "lastre"-noun-es
"générer"-verb-fr "generar"-verb-es
"portefeuille"-noun-fr "cartera"-noun-es
"Fernando Alvarez de Tolède"-properNoun-fr "Fernando Álvarez de Toledo"-properNoun-es
"Blasco"-properNoun-fr "Blasco"-properNoun-es
"Sanche le Grand"-properNoun-fr "Antso Handia"-properNoun-es
"fragile"-adjective-fr "frágil"-adjective-es
"antiréglementaire"-adjective-fr "antirreglamentario"-adjective-es
"Massif Central"-properNoun-fr "Macizo Central"-properNoun-es
"trauma"-noun-fr "trauma"-noun-es
"Samsung"-properNoun-fr "Samsung"-properNoun-es
"Villafranca"-properNoun-fr "Villafranca"-properNoun-es
"industriel"-adjective-fr "industrial"-adjective-es
"drap"-noun-fr "sábana"-noun-es
"dallage"-noun-fr "pavimento"-noun-es
"Barroso"-properNoun-fr "Barroso"-properNoun-es
"convivialité"-noun-fr "convivialidad"-noun-es
"poil"-noun-fr "pelo"-noun-es
"festival"-noun-fr "festival"-noun-es
"Ion"-properNoun-fr "Ion"-properNoun-es
"gravir"-verb-fr "escalar"-verb-es
"filmer"-verb-fr "filmar"-verb-es
"prétendant"-noun-fr "pretendiente"-noun-es
"Walt"-properNoun-fr "Walt"-properNoun-es
"Carthage"-properNoun-fr "Cartago"-properNoun-es
"Shamali"-properNoun-fr "Shamali"-properNoun-es
"à côté"-adverb-fr "cerca"-adverb-es
"duplicité"-noun-fr "duplicidad"-noun-es
"isolant"-noun-fr "aislante"-noun-es
"Ségovie"-properNoun-fr "Segovia"-properNoun-es
"architecture"-noun-fr "arquitectura"-noun-es
"à mon époque"-adverb-fr "en mi época"-adverb-es
"Aldai"-properNoun-fr "Aldai"-properNoun-es
"retraiter"-verb-fr "jubilar"-verb-es
"connectivité"-noun-fr "conectividad"-noun-es
"magistralement"-adverb-fr "magistralmente"-adverb-es
"mobilisation"-noun-fr "movilización"-noun-es
"prolonger de"-verb-fr "prolongar por"-verb-es
"super"-adjective-fr "super"-adjective-es
"super"-adjective-fr "súper"-adjective-es
"jeter de la poudre aux yeux"-verb-fr "engañar como a un chino"-verb-es
"Oiartzun"-properNoun-fr "Oiartzun"-properNoun-es
"journal officiel"-noun-fr "boletín oficial"-noun-es
"Cioni"-properNoun-fr "Cioni"-properNoun-es
"gaspillage"-noun-fr "derroche"-noun-es
"gaspillage"-noun-fr "despilfarro"-noun-es
"Citigroup"-properNoun-fr "Citigroup"-properNoun-es
"Irigoyen"-properNoun-fr "Irigoyen"-properNoun-es
"poste de travail"-noun-fr "puesto de trabajo"-noun-es
"damer le pion"-verb-fr "ganar por la mano"-verb-es
"reconstruction"-noun-fr "reconstrucción"-noun-es
"quatre-vingt-trois"-numeral-fr "ochenta y tres"-numeral-es
"ponctualité"-noun-fr "puntualidad"-noun-es
"comportement"-noun-fr "comportamiento"-noun-es
"Anatolie"-properNoun-fr "Anatolia"-properNoun-es
"poussin"-noun-fr "alevín"-noun-es
"Maroc"-properNoun-fr "Marruecos"-properNoun-es
"Apalanza"-properNoun-fr "Apalanza"-properNoun-es
"défenseur"-noun-fr "defensor"-noun-es
"haltérophilie"-noun-fr "halterofilia"-noun-es
"Geographic"-properNoun-fr "Geographic"-properNoun-es
"organisme sportif"-noun-fr "entidad deportiva"-noun-es
"Abascal"-properNoun-fr "Abascal"-properNoun-es
"Juliá"-properNoun-fr "Juliá"-properNoun-es
"Herrera"-properNoun-fr "Herrera"-properNoun-es
"Lluis"-properNoun-fr "Lluis"-properNoun-es
"OPS"-noun-fr "OPS"-noun-es
"Herminia"-properNoun-fr "Herminia"-properNoun-es
"Galvez"-properNoun-fr "Galvez"-properNoun-es
"infrastructure"-noun-fr "infraestructura"-noun-es
"décapitation"-noun-fr "decapitación"-noun-es
"client d'actif"-noun-fr "cliente de activo"-noun-es
"Amazonie"-properNoun-fr "Amazonia"-properNoun-es
"Ancyre"-properNoun-fr "Ancyra"-properNoun-es
"climatologique"-adjective-fr "climatológico"-adjective-es
"Johannesburg"-properNoun-fr "Johannesburg"-properNoun-es
"Johannesburg"-properNoun-fr "Johannesburgo"-properNoun-es
"étrenner"-verb-fr "estrenar"-verb-es
"hausse"-noun-fr "repunte"-noun-es
"hausse"-noun-fr "ascenso"-noun-es
"Niamey"-properNoun-fr "Niamey"-properNoun-es
"pétrolier"-noun-fr "petrolera"-noun-es
"pétrolier"-noun-fr "petrolero"-noun-es
"Barceló"-properNoun-fr "Barceló"-properNoun-es
"BBC"-noun-fr "BBC"-noun-es
"opérer"-verb-fr "operar"-verb-es
"impartialité"-noun-fr "imparcialidad"-noun-es
"Linda"-properNoun-fr "Linda"-properNoun-es
"sécheresse"-noun-fr "sequedad"-noun-es
"sécheresse"-noun-fr "sequía"-noun-es
"Annan"-properNoun-fr "Annan"-properNoun-es
"controversé"-adjective-fr "controvertido"-adjective-es
"controversé"-adjective-fr "polémico"-adjective-es
"juridiquement"-adverb-fr "jurídicamente"-adverb-es
"approuver"-verb-fr "estar de acuerdo"-verb-es
"approuver"-verb-fr "aprobar"-verb-es
"froid"-noun-fr "frío"-noun-es
"inanité"-noun-fr "inanidad"-noun-es
"Journée Internationale de la Femme"-properNoun-fr "Día Internacional de la Mujer"-properNoun-es
"Henri II le Magnifique"-properNoun-fr "Enrique II de Trastamara"-properNoun-es
"cannois"-adjective-fr "de cannes"-adjective-es
"Dumas"-properNoun-fr "Dumas"-properNoun-es
"Jaques"-properNoun-fr "Jaques"-properNoun-es
"étalage"-noun-fr "aparador"-noun-es
"étalage"-noun-fr "escaparate"-noun-es
"immédiatement"-adverb-fr "inmediatamente"-adverb-es
"immédiatement"-adverb-fr "de inmediato"-adverb-es
"polonais"-adjective-fr "polaco"-adjective-es
"chahuteur"-noun-fr "alborotador"-noun-es
"Aldunate"-properNoun-fr "Aldunate"-properNoun-es
"Panza"-properNoun-fr "Panza"-properNoun-es
"L'Oréal"-properNoun-fr "L'Oréal"-properNoun-es
"sauvage"-adjective-fr "salvaje"-adjective-es
"Calvaire"-properNoun-fr "Calvario"-properNoun-es
"al-Zawahiri"-properNoun-fr "Al-Zawahiri"-properNoun-es
"vainqueur"-noun-fr "vencedor"-noun-es
"fleuve Jaune"-properNoun-fr "Río Amarillo"-properNoun-es
"eitb24com"-properNoun-fr "eitb24com"-properNoun-es
"Mazar-i-Charif"-properNoun-fr "Mazar-i-Sharif"-properNoun-es
"pêcherie"-noun-fr "pesquería"-noun-es
"symbolique"-adjective-fr "simbólico"-adjective-es
"liaison"-noun-fr "conexión"-noun-es
"normaliser"-verb-fr "normalizar"-verb-es
"en activité"-adverb-fr "en activo"-adverb-es
"Ouzbékistan"-properNoun-fr "Uzbekistán"-properNoun-es
"Lafont"-properNoun-fr "Lafont"-properNoun-es
"Calatayud"-properNoun-fr "Calatayud"-properNoun-es
"journal officiel de province"-noun-fr "BOP"-noun-es
"aligner"-verb-fr "alinear"-verb-es
"aggravation"-noun-fr "agravación"-noun-es
"aggravation"-noun-fr "agravamiento"-noun-es
"Alegi"-properNoun-fr "Alegi"-properNoun-es
"activité"-noun-fr "actividad"-noun-es
"menstruation"-noun-fr "menstruación"-noun-es
"László Sólyom"-properNoun-fr "László Sólyom"-properNoun-es
"garderie"-noun-fr "guardería"-noun-es
"à long terme"-adverb-fr "a largo plazo"-adverb-es
"mélomane"-noun-fr "melómano"-noun-es
"dépendant"-adjective-fr "dependiente"-adjective-es
"Mont-de-Marsan"-properNoun-fr "Mont-de-Marsan"-properNoun-es
"centième"-noun-fr "centésimo"-noun-es
"visuel"-adjective-fr "visual"-adjective-es
"Villalba"-properNoun-fr "Villalba"-properNoun-es
"couleur"-noun-fr "color"-noun-es
"calmer"-verb-fr "calmar"-verb-es
"calmer"-verb-fr "sosegar"-verb-es
"Treviño"-properNoun-fr "Treviño"-properNoun-es
"Labaka"-properNoun-fr "Labaka"-properNoun-es
"eitbcom"-properNoun-fr "eitbcom"-properNoun-es
"licence"-noun-fr "licenciatura"-noun-es
"licence"-noun-fr "licencia"-noun-es
"Acetti"-properNoun-fr "Acetti"-properNoun-es
"psychique"-adjective-fr "psíquico"-adjective-es
"Rocard"-properNoun-fr "Rocard"-properNoun-es
"Dolors"-properNoun-fr "Dolors"-properNoun-es
"représentativité"-noun-fr "representatividad"-noun-es
"placard"-noun-fr "alacena"-noun-es
"Bilbao"-properNoun-fr "Bilbo"-properNoun-es
"Bilbao"-properNoun-fr "Bilbao"-properNoun-es
"mâle"-adjective-fr "viril"-adjective-es
