"the"-determiner-en "el"-determiner-ca
"archaic"-adjective-en "arcaic"-adjective-ca
"archeological"-adjective-en "arqueològic"-adjective-ca
"archetypal"-adjective-en "arquetípic"-adjective-ca
"Archimedean"-adjective-en "arquimedià"-adjective-ca
"architectural"-adjective-en "arquitectònic"-adjective-ca
"archival"-adjective-en "arxivístic"-adjective-ca
"Arctic"-adjective-en "àrtic"-adjective-ca
"ardent"-adjective-en "apassionat"-adjective-ca
"arduous"-adjective-en "ardu"-adjective-ca
"argentine"-adjective-en "argentí"-adjective-ca
"argotic"-adjective-en "argòtic"-adjective-ca
"argumentative"-adjective-en "argumentatiu"-adjective-ca
"arid"-adjective-en "àrid"-adjective-ca
"aristocratic"-adjective-en "aristocràtic"-adjective-ca
"Aristotelian"-adjective-en "aristotèlic"-adjective-ca
"arithmetical"-adjective-en "aritmètic"-adjective-ca
"armed"-adjective-en "armat"-adjective-ca
"armored"-adjective-en "blindat"-adjective-ca
"armoured"-adjective-en "blindat"-adjective-ca
"aromatic"-adjective-en "aromàtic"-adjective-ca
"Arthurian"-adjective-en "artúric"-adjective-ca
"articulate"-adjective-en "articulat"-adjective-ca
"articulate"-adjective-en "articular"-verb-ca
"articulate"-verb-en "articulat"-adjective-ca
"articulate"-verb-en "articular"-verb-ca
"articulatory"-adjective-en "articulatori"-adjective-ca
"artistic"-adjective-en "artístic"-adjective-ca
"as dead as a doornail"-adjective-en "mort i ben mort"-adjective-ca
"ascorbic"-adjective-en "ascòrbic"-adjective-ca
"aseptic"-adjective-en "asèptic"-adjective-ca
"ashamed"-adjective-en "avergonyit"-adjective-ca
"Asiatic"-adjective-en "asiàtic"-adjective-ca
"asleep"-adjective-en "adormit"-adjective-ca
"asphaltic"-adjective-en "asfàltic"-adjective-ca
"assertive"-adjective-en "autoritari"-adjective-ca
"assertoric"-adjective-en "assertori"-adjective-ca
"associative"-adjective-en "associatiu"-adjective-ca
"assorted"-adjective-en "assortit"-adjective-ca
"astatic"-adjective-en "astàtic"-adjective-ca
"astonished"-adjective-en "atònit"-adjective-ca
"astounded"-adjective-en "atònit"-adjective-ca
"astrological"-adjective-en "astrològic"-adjective-ca
"astronomical"-adjective-en "astronòmic"-adjective-ca
"astute"-adjective-en "astut"-adjective-ca
"asymmetrical"-adjective-en "asimètric"-adjective-ca
"asymmetric"-adjective-en "asimètric"-adjective-ca
"asymptotic"-adjective-en "asimptòtic"-adjective-ca
"asynchronous"-adjective-en "asíncron"-adjective-ca
"asyndetic"-adjective-en "asindètic"-adjective-ca
"Athanasian"-adjective-en "atanasià"-adjective-ca
"atheistic"-adjective-en "ateu"-adjective-ca
"Athenian"-adjective-en "atenès"-adjective-ca
"atherosclerotic"-adjective-en "arterioescleròstic"-adjective-ca
"athletic"-adjective-en "atlètic"-adjective-ca
"Atlantic"-adjective-en "atlàntic"-adjective-ca
"atmospheric"-adjective-en "atmosfèric"-adjective-ca
"atomic"-adjective-en "atòmic"-adjective-ca
"atomistic"-adjective-en "atomístic"-adjective-ca
"atonic"-adjective-en "àton"-adjective-ca
"atrocious"-adjective-en "atroç"-adjective-ca
"attentive"-adjective-en "atent"-adjective-ca
"attractive"-adjective-en "atractiu"-adjective-ca
"atypical"-adjective-en "atípic"-adjective-ca
"audacious"-adjective-en "audaç"-adjective-ca
"audible"-adjective-en "sonor"-adjective-ca
"Augustan"-adjective-en "august"-adjective-ca
"Augustinian"-adjective-en "augustinià"-adjective-ca
"Aussie"-adjective-en "australià"-adjective-ca
"austere"-adjective-en "auster"-adjective-ca
"Austronesian"-adjective-en "austronesi"-adjective-ca
"autarchic"-adjective-en "autàrquic"-adjective-ca
"authentic"-adjective-en "autèntic"-adjective-ca
"authoritarian"-adjective-en "autoritari"-adjective-ca
"authoritative"-adjective-en "autoritari"-adjective-ca
"autobiographical"-adjective-en "autobiogràfic"-adjective-ca
"autochthonous"-adjective-en "autòcton"-adjective-ca
"autocratic"-adjective-en "autocràtic"-adjective-ca
"autodynamic"-adjective-en "autodinàmic"-adjective-ca
"autographic"-adjective-en "autògraf"-adjective-ca
"automatic"-adjective-en "automàtic"-adjective-ca
"automotive"-adjective-en "automotor"-adjective-ca
"automotive"-adjective-en "motor"-adjective-ca
"automotive"-adjective-en "automotriu"-adjective-ca
"automotive"-adjective-en "motriu"-adjective-ca
"autonomic"-adjective-en "autonòmic"-adjective-ca
"autonomous"-adjective-en "autònom"-adjective-ca
"autosomal"-adjective-en "autosomàtic"-adjective-ca
"autotrophic"-adjective-en "autòtrof"-adjective-ca
"avaricious"-adjective-en "avariciós"-adjective-ca
"avaricious"-adjective-en "avar"-adjective-ca
"avaricious"-adjective-en "cobejós"-adjective-ca
"avian"-adjective-en "aviari"-adjective-ca
"avid"-adjective-en "àvid"-adjective-ca
"awake"-adjective-en "despert"-adjective-ca
"awake"-adjective-en "despertar"-verb-ca
"awake"-verb-en "despert"-adjective-ca
"awake"-verb-en "despertar"-verb-ca
"awkward"-adjective-en "incòmode"-adjective-ca
"axiomatic"-adjective-en "axiomàtic"-adjective-ca
"axonometric"-adjective-en "axonomètric"-adjective-ca
"bacterial"-adjective-en "bacterià"-adjective-ca
"bacteriological"-adjective-en "bacteriològic"-adjective-ca
"Bactrian"-adjective-en "bactrià"-adjective-ca
"Bahamian"-adjective-en "bahamià"-adjective-ca
"bald"-adjective-en "calb"-adjective-ca
"Balinese"-adjective-en "balinès"-adjective-ca
"Balkan"-adjective-en "balcànic"-adjective-ca
"ballistic"-adjective-en "balístic"-adjective-ca
"Bangladeshi"-adjective-en "bangladeshià"-adjective-ca
"barbaric"-adjective-en "bàrbar"-adjective-ca
"barbarous"-adjective-en "bàrbar"-adjective-ca
"Barcelonan"-adjective-en "barceloní"-adjective-ca
"barefoot"-adjective-en "descalç"-adjective-ca
"barometric"-adjective-en "baromètric"-adjective-ca
"Baroque"-adjective-en "barroc"-adjective-ca
"barycentric"-adjective-en "baricèntric"-adjective-ca
"based on facts"-adjective-en "basat en fets"-adjective-ca
"basic"-adjective-en "bàsic"-adjective-ca
"basophile"-adjective-en "basòfil"-adjective-ca
"bastard"-adjective-en "bastard"-adjective-ca
"Batavian"-adjective-en "batau"-adjective-ca
"Bayesian"-adjective-en "bayesià"-adjective-ca
"bearded"-adjective-en "barbut"-adjective-ca
"beautiful"-adjective-en "bell"-adjective-ca
"beautiful"-adjective-en "bonic"-adjective-ca
"beautiful"-adjective-en "bufó"-adjective-ca
"belated"-adjective-en "tardà"-adjective-ca
"bellicose"-adjective-en "bèl·lic"-adjective-ca
"Belorussian"-adjective-en "bielorús"-adjective-ca
"beloved"-adjective-en "estimat"-adjective-ca
"Benedictine"-adjective-en "benedictí"-adjective-ca
"beneficial"-adjective-en "beneficiós"-adjective-ca
"benevolent"-adjective-en "benèfic"-adjective-ca
"benevolent"-adjective-en "benèvol"-adjective-ca
"benign"-adjective-en "benigne"-adjective-ca
"Bermudian"-adjective-en "bermudià"-adjective-ca
"bevel-edged"-adjective-en "bisellat"-adjective-ca
"Bhutanese"-adjective-en "bhutanès"-adjective-ca
"biased"-adjective-en "esbiaxat"-adjective-ca
"biased"-adjective-en "tendenciós"-adjective-ca
"biblical"-adjective-en "bíblic"-adjective-ca
"bibliographic"-adjective-en "bibliogràfic"-adjective-ca
"biconvex"-adjective-en "biconvex"-adjective-ca
"bigamous"-adjective-en "bígam"-adjective-ca
"big-hearted"-adjective-en "generós"-adjective-ca
"bijective"-adjective-en "bijectiu"-adjective-ca
"binary"-adjective-en "binari"-adjective-ca
"biochemical"-adjective-en "bioquímic"-adjective-ca
"bioclimatic"-adjective-en "bioclimàtic"-adjective-ca
"biogeochemical"-adjective-en "biogeoquímic"-adjective-ca
"biographical"-adjective-en "biogràfic"-adjective-ca
"biological"-adjective-en "biològic"-adjective-ca
"biomedical"-adjective-en "biomèdic"-adjective-ca
"biophysical"-adjective-en "biofísic"-adjective-ca
"biotic"-adjective-en "biòtic"-adjective-ca
"bipartisan"-adjective-en "bipartit"-adjective-ca
"bipedal"-adjective-en "bípede"-adjective-ca
"biped"-adjective-en "bípede"-adjective-ca
"biquadratic"-adjective-en "biquadràtic"-adjective-ca
"Biscayan"-adjective-en "biscaí"-adjective-ca
"bitter"-adjective-en "amarg"-adjective-ca
"bituminous"-adjective-en "bituminós"-adjective-ca
"bivalve"-adjective-en "bivalve"-adjective-ca
"bizarre"-adjective-en "estrany"-adjective-ca
"blasphemous"-adjective-en "blasfem"-adjective-ca
"blatant"-adjective-en "descarat"-adjective-ca
"blessed"-adjective-en "beneït"-adjective-ca
"blinding"-adjective-en "encegador"-adjective-ca
"blind"-verb-en "cegar"-verb-ca
"blind"-verb-en "encegar"-verb-ca
"bloated"-adjective-en "inflat"-adjective-ca
"blonde"-adjective-en "ros"-adjective-ca
"bloodstained"-adjective-en "ensangonat"-adjective-ca
"bluish"-adjective-en "blavós"-adjective-ca
"blunt"-verb-en "esmussar"-verb-ca
"blurred"-adjective-en "borrós"-adjective-ca
"bohemian"-adjective-en "bohemi"-adjective-ca
"Bolivarian"-adjective-en "bolivarià"-adjective-ca
"boolean"-adjective-en "booleà"-adjective-ca
"bootless"-adjective-en "infructuós"-adjective-ca
"bordering"-adjective-en "limítrof"-adjective-ca
"borelian"-adjective-en "borelià"-adjective-ca
"born"-adjective-en "nascut"-adjective-ca
"born"-adjective-en "nat"-adjective-ca
"botanical"-adjective-en "botànic"-adjective-ca
"botanic"-adjective-en "botànic"-adjective-ca
"bounded"-adjective-en "fitat"-adjective-ca
"boundless"-adjective-en "il·limitat"-adjective-ca
"bovine"-adjective-en "boví"-adjective-ca
"brackish"-adjective-en "salabrós"-adjective-ca
"braided"-adjective-en "anastomosat"-adjective-ca
"brainless"-adjective-en "pàmfil"-adjective-ca
"brainless"-adjective-en "tòtil"-adjective-ca
"brave"-verb-en "valent"-adjective-ca
"brave"-verb-en "afrontar"-verb-ca
"Briton"-adjective-en "brità"-adjective-ca
"Brittonic"-adjective-en "britó"-adjective-ca
"broadleaf"-adjective-en "planifoli"-adjective-ca
"broken"-adjective-en "trencat"-adjective-ca
"Brownian"-adjective-en "brownià"-adjective-ca
"brownish"-adjective-en "marronós"-adjective-ca
"brusque"-adjective-en "brusc"-adjective-ca
"Brythonic"-adjective-en "britònic"-adjective-ca
"bubonic"-adjective-en "bubònic"-adjective-ca
"budgetary"-adjective-en "pressupostari"-adjective-ca
"bulbous"-adjective-en "bulbós"-adjective-ca
"bureaucratic"-adjective-en "burocràtic"-adjective-ca
"Burgundian"-adjective-en "burgundi"-adjective-ca
"burned"-adjective-en "cremat"-adjective-ca
"Byzantine"-adjective-en "bizantí"-adjective-ca
"cacophonic"-adjective-en "cacofònic"-adjective-ca
"caducous"-adjective-en "caduc"-adjective-ca
"calcareous"-adjective-en "calcari"-adjective-ca
"calcic"-adjective-en "càlcic"-adjective-ca
"calcifugal"-adjective-en "calcífug"-adjective-ca
"Caledonian"-adjective-en "caledonià"-adjective-ca
"Californian"-adjective-en "californià"-adjective-ca
"Callistoan"-adjective-en "cal·listià"-adjective-ca
"caloric"-adjective-en "calòric"-adjective-ca
"calorimetric"-adjective-en "calorimètric"-adjective-ca
"Cambrian"-adjective-en "cambrià"-adjective-ca
"cancerous"-adjective-en "cancerós"-adjective-ca
"candid"-adjective-en "franc"-adjective-ca
"canine"-adjective-en "caní"-adjective-ca
"canonical"-adjective-en "canònic"-adjective-ca
"Cantabrian"-adjective-en "càntabre"-adjective-ca
"Cantabrian"-adjective-en "cantàbric"-adjective-ca
"capable"-adjective-en "capaç"-adjective-ca
"Capitoline"-adjective-en "capitolí"-adjective-ca
"carbonaceous"-adjective-en "carbònic"-adjective-ca
"carbonated"-adjective-en "carbonatat"-adjective-ca
"carbonic"-adjective-en "carbònic"-adjective-ca
"carboniferous"-adjective-en "carbonífer"-adjective-ca
"carboxylic"-adjective-en "carboxílic"-adjective-ca
"carcinogenic"-adjective-en "cancerigen"-adjective-ca
"Cardassian"-adjective-en "cardassià"-adjective-ca
"cardiac"-adjective-en "cardíac"-adjective-ca
"careless"-adjective-en "distret"-adjective-ca
"careless"-adjective-en "inadvertit"-adjective-ca
"Carnatic"-adjective-en "carnàtic"-adjective-ca
"carnivorous"-adjective-en "carnívor"-adjective-ca
"Carolingian"-adjective-en "carolingi"-adjective-ca
"Cartesian"-adjective-en "cartesià"-adjective-ca
"Carthaginian"-adjective-en "cartaginès"-adjective-ca
"cartilaginous"-adjective-en "cartilaginós"-adjective-ca
"cartographic"-adjective-en "cartogràfic"-adjective-ca
"castrated"-adjective-en "castrat"-adjective-ca
"catalytic"-adjective-en "catalític"-adjective-ca
"catastrophic"-adjective-en "catastròfic"-adjective-ca
"categorematic"-adjective-en "categoremàtic"-adjective-ca
"categorical"-adjective-en "categòric"-adjective-ca
"cathartic"-adjective-en "catàrtic"-adjective-ca
"Caucasian"-adjective-en "caucàsic"-adjective-ca
"causative"-adjective-en "causatiu"-adjective-ca
"caustic"-adjective-en "càustic"-adjective-ca
"cautious"-adjective-en "cautelós"-adjective-ca
"cavalier"-adjective-en "desdenyós"-adjective-ca
"cavernous"-adjective-en "cavernós"-adjective-ca
"celebrated"-adjective-en "celebrat"-adjective-ca
"celebratory"-adjective-en "festiu"-adjective-ca
"Celtic"-adjective-en "cèltic"-adjective-ca
"centenarian"-adjective-en "centenari"-adjective-ca
"centrical"-adjective-en "cèntric"-adjective-ca
"centric"-adjective-en "cèntric"-adjective-ca
"centrifugal"-adjective-en "centrífug"-adjective-ca
"centripetal"-adjective-en "centrípet"-adjective-ca
"cephalic"-adjective-en "cefàlic"-adjective-ca
"certain"-adjective-en "segur"-adjective-ca
"certifier"-adjective-en "certificador"-adjective-ca
"Chadian"-adjective-en "txadià"-adjective-ca
"Chaldean"-adjective-en "caldeà"-adjective-ca
"challenging"-adjective-en "desafiador"-adjective-ca
"chambered"-adjective-en "confinat"-adjective-ca
"championing"-adjective-en "banderer"-adjective-ca
"chaotic"-adjective-en "caòtic"-adjective-ca
"characterologic"-adjective-en "caracterològic"-adjective-ca
"charismatic"-adjective-en "carismàtic"-adjective-ca
"charitable"-adjective-en "benèfic"-adjective-ca
"charitable"-adjective-en "caritatiu"-adjective-ca
"charming"-adjective-en "encantador"-adjective-ca
"charming"-adjective-en "encisador"-adjective-ca
"chess"-adjective-en "escaquístic"-adjective-ca
"chicken-hearted"-adjective-en "covard"-adjective-ca
"child-bearing"-adjective-en "fecund"-adjective-ca
"chilled"-adjective-en "gelat"-adjective-ca
"chiropractic"-adjective-en "quiropràctic"-adjective-ca
"chlorotic"-adjective-en "cloròtic"-adjective-ca
"choreographic"-adjective-en "coreogràfic"-adjective-ca
"choropletic"-adjective-en "coroplètic"-adjective-ca
"chromatic"-adjective-en "cromàtic"-adjective-ca
"chromatographic"-adjective-en "cromatogràfic"-adjective-ca
"chromic"-adjective-en "cròmic"-adjective-ca
"chromosomal"-adjective-en "cromosòmic"-adjective-ca
"chronic"-adjective-en "crònic"-adjective-ca
"chronological"-adjective-en "cronològic"-adjective-ca
"ciliated"-adjective-en "ciliat"-adjective-ca
"cinematic"-adjective-en "cinemàtic"-adjective-ca
"cinematic"-adjective-en "cinematogràfic"-adjective-ca
"cinematographic"-adjective-en "cinematogràfic"-adjective-ca
"Circadian"-adjective-en "circadià"-adjective-ca
"Circassian"-adjective-en "circassià"-adjective-ca
"circulatory"-adjective-en "circulatori"-adjective-ca
"circumcised"-adjective-en "circumcís"-adjective-ca
"Cistercian"-adjective-en "cistercenc"-adjective-ca
"citric"-adjective-en "cítric"-adjective-ca
"civic"-adjective-en "cívic"-adjective-ca
"civilizing"-adjective-en "civilitzador"-adjective-ca
"cladistic"-adjective-en "cladístic"-adjective-ca
"clandestine"-adjective-en "clandestí"-adjective-ca
"classical"-adjective-en "clàssic"-adjective-ca
"claustrophobic"-adjective-en "claustrofòbic"-adjective-ca
"clean"-verb-en "net"-adjective-ca
"clean"-verb-en "netejar"-verb-ca
"clean"-verb-en "torcar"-verb-ca
"clear-cut"-adjective-en "definit"-adjective-ca
"clear"-verb-en "aclarir"-verb-ca
"clear"-verb-en "buidar"-verb-ca
"clear"-verb-en "liquidar"-verb-ca
"clear"-verb-en "netejar"-verb-ca
"climatic"-adjective-en "climàtic"-adjective-ca
"climatological"-adjective-en "climatològic"-adjective-ca
"clinical"-adjective-en "clínic"-adjective-ca
"clitoral"-adjective-en "clitoridià"-adjective-ca
"close"-verb-en "proper"-adjective-ca
"close"-verb-en "cloure"-verb-ca
"close"-verb-en "tancar"-verb-ca
"clouded"-adjective-en "ennuvolat"-adjective-ca
"cloudless"-adjective-en "serè"-adjective-ca
"cluttered"-adjective-en "abarrotat"-adjective-ca
"coastal"-adjective-en "costaner"-adjective-ca
"coastal"-adjective-en "coster"-adjective-ca
"cock-eyed"-adjective-en "absurd"-adjective-ca
"cock-eyed"-adjective-en "forassenyat"-adjective-ca
"coercive"-adjective-en "coactiu"-adjective-ca
"coercive"-adjective-en "coercitiu"-adjective-ca
"cognitive"-adjective-en "cognitiu"-adjective-ca
"cohesive"-adjective-en "cohesiu"-adjective-ca
"cold-hearted"-adjective-en "pervers"-adjective-ca
"cold-short"-adjective-en "agre"-adjective-ca
"collaborative"-adjective-en "col·laboratiu"-adjective-ca
"collective"-adjective-en "col·lectiu"-adjective-ca
"colonising"-adjective-en "colonitzador"-adjective-ca
"colorful"-adjective-en "acolorit"-adjective-ca
"colorimetric"-adjective-en "colorimètric"-adjective-ca
"colorless"-adjective-en "incolor"-adjective-ca
"colourful"-adjective-en "acolorit"-adjective-ca
"colourful"-adjective-en "vívid"-adjective-ca
"colourless"-adjective-en "incolor"-adjective-ca
"combinatorial"-adjective-en "combinatori"-adjective-ca
"combinatory"-adjective-en "combinatori"-adjective-ca
"comfortable"-adjective-en "còmode"-adjective-ca
"comical"-adjective-en "còmic"-adjective-ca
"coming"-adjective-en "esdevenidor"-adjective-ca
"commemorative"-adjective-en "commemoratiu"-adjective-ca
"commercially oriented"-adjective-en "orientat comercialment"-adjective-ca
"committed"-adjective-en "compromès"-adjective-ca
"common"-adjective-en "comú"-adjective-ca
"communicative"-adjective-en "comunicatiu"-adjective-ca
"commutative"-adjective-en "commutatiu"-adjective-ca
"compact"-adjective-en "compacte"-adjective-ca
"compact"-adjective-en "compactar"-verb-ca
"compact"-verb-en "compacte"-adjective-ca
"compact"-verb-en "compactar"-verb-ca
"comparative"-adjective-en "comparatiu"-adjective-ca
"compartmentalised"-adjective-en "compartimentat"-adjective-ca
"compassionate"-adjective-en "compassiu"-adjective-ca
"compensatory"-adjective-en "compensatori"-adjective-ca
"competitive"-adjective-en "competitiu"-adjective-ca
"complementary"-adjective-en "complementari"-adjective-ca
"complete"-adjective-en "complet"-adjective-ca
"complete"-adjective-en "completar"-verb-ca
"complete"-verb-en "complet"-adjective-ca
"complete"-verb-en "completar"-verb-ca
"complimentary"-adjective-en "afalagador"-adjective-ca
"composite"-adjective-en "compost"-adjective-ca
"compositional"-adjective-en "constitutiu"-adjective-ca
"compulsive"-adjective-en "compulsiu"-adjective-ca
"compulsory"-adjective-en "obligatori"-adjective-ca
"computerised"-adjective-en "computeritzat"-adjective-ca
"computerised"-adjective-en "informatitzat"-adjective-ca
"concave"-adjective-en "còncau"-adjective-ca
"concentric"-adjective-en "concèntric"-adjective-ca
"concerted"-adjective-en "concertat"-adjective-ca
"conciliatory"-adjective-en "conciliador"-adjective-ca
"concise"-adjective-en "concís"-adjective-ca
"conclusive"-adjective-en "conclusiu"-adjective-ca
"condemnatory"-adjective-en "condemnatori"-adjective-ca
"condensed"-adjective-en "condensat"-adjective-ca
"conducive"-adjective-en "conduciu"-adjective-ca
"conductive"-adjective-en "conductor"-adjective-ca
"confident"-adjective-en "desenfadat"-adjective-ca
"confident"-adjective-en "segur"-adjective-ca
"conflictive"-adjective-en "conflictiu"-adjective-ca
"confrontational"-adjective-en "polèmic"-adjective-ca
"Confucian"-adjective-en "confucià"-adjective-ca
"congenital"-adjective-en "congènit"-adjective-ca
"congested"-adjective-en "congestionat"-adjective-ca
"congratulatory"-adjective-en "congratulatori"-adjective-ca
"conical"-adjective-en "cònic"-adjective-ca
"conic"-adjective-en "cònic"-adjective-ca
"conjoint"-adjective-en "conjunt"-adjective-ca
"connective"-adjective-en "connectiu"-adjective-ca
"consanguine"-adjective-en "consanguini"-adjective-ca
"conscientious"-adjective-en "conscienciós"-adjective-ca
"conscientious"-adjective-en "meticulós"-adjective-ca
"consecutive"-adjective-en "consecutiu"-adjective-ca
"consensual"-adjective-en "consentit"-adjective-ca
"consonantal"-adjective-en "consonàntic"-adjective-ca
"conspicuous"-adjective-en "conspicu"-adjective-ca
"constitutive"-adjective-en "constitutiu"-adjective-ca
"constrained"-adjective-en "cohibit"-adjective-ca
"constructive"-adjective-en "constructiu"-adjective-ca
"consultative"-adjective-en "consultiu"-adjective-ca
"contagious"-adjective-en "contagiós"-adjective-ca
"contemplative"-adjective-en "contemplatiu"-adjective-ca
"contemporaneous"-adjective-en "contemporani"-adjective-ca
"contemporary"-adjective-en "contemporani"-adjective-ca
"contentious"-adjective-en "contenciós"-adjective-ca
"contiguous"-adjective-en "contigu"-adjective-ca
"continual"-adjective-en "continu"-adjective-ca
"continuous"-adjective-en "continu"-adjective-ca
"contradictory"-adjective-en "contradictori"-adjective-ca
"contrapositive"-adjective-en "contrarecíproc"-adjective-ca
"contrary"-adjective-en "contrari"-adjective-ca
"contributory"-adjective-en "contribuïdor"-adjective-ca
"contributory"-adjective-en "contributiu"-adjective-ca
"controversial"-adjective-en "controvertit"-adjective-ca
"controversial"-adjective-en "polèmic"-adjective-ca
"convective"-adjective-en "convectiu"-adjective-ca
"converse"-adjective-en "contrari"-adjective-ca
"converse"-adjective-en "conversar"-verb-ca
"converse"-adjective-en "enraonar"-verb-ca
"converse"-verb-en "contrari"-adjective-ca
"converse"-verb-en "conversar"-verb-ca
"converse"-verb-en "enraonar"-verb-ca
"converted"-adjective-en "convertit"-adjective-ca
"convex"-adjective-en "convex"-adjective-ca
"convoluted"-adjective-en "enrevessat"-adjective-ca
"cool"-verb-en "refredar"-verb-ca
"Copernican"-adjective-en "copernicà"-adjective-ca
"copious"-adjective-en "copiós"-adjective-ca
"coplanar"-adjective-en "coplanari"-adjective-ca
"coprophagous"-adjective-en "copròfag"-adjective-ca
"Corinthian"-adjective-en "corinti"-adjective-ca
"coronal"-adjective-en "coronari"-adjective-ca
"coronary"-adjective-en "coronari"-adjective-ca
"corporate"-adjective-en "corporatiu"-adjective-ca
"corporeal"-adjective-en "corpori"-adjective-ca
"corrective"-adjective-en "correctiu"-adjective-ca
"correcting"-adjective-en "corrector"-adjective-ca
"correct"-adjective-en "correcte"-adjective-ca
"correct"-adjective-en "corregir"-verb-ca
"correct"-verb-en "correcte"-adjective-ca
"correct"-verb-en "corregir"-verb-ca
"correlated"-adjective-en "correlatiu"-adjective-ca
"correlative"-adjective-en "correlatiu"-adjective-ca
"corrosive"-adjective-en "corrosiu"-adjective-ca
"corrupt"-adjective-en "corrupte"-adjective-ca
"corrupt"-adjective-en "corrompre"-verb-ca
"corrupt"-verb-en "corrupte"-adjective-ca
"corrupt"-verb-en "corrompre"-verb-ca
"Corsican"-adjective-en "cors"-adjective-ca
"cosmic"-adjective-en "còsmic"-adjective-ca
"cosmological"-adjective-en "cosmològic"-adjective-ca
"counterfeit"-adjective-en "fals"-adjective-ca
"courageous"-adjective-en "coratjós"-adjective-ca
"cowardly"-adjective-en "covard"-adjective-ca
"creative"-adjective-en "creatiu"-adjective-ca
"Crimean"-adjective-en "crimeà"-adjective-ca
"crimson"-adjective-en "carmesí"-adjective-ca
"critical"-adjective-en "crític"-adjective-ca
"crooked"-adjective-en "corb"-adjective-ca
"cross-eyed"-adjective-en "guenyo"-adjective-ca
"cross-eyed"-adjective-en "guerxo"-adjective-ca
"crushing"-adjective-en "aclaparador"-adjective-ca
"cryogenic"-adjective-en "criogènic"-adjective-ca
"cryovolcanic"-adjective-en "criovolcànic"-adjective-ca
"cryptic"-adjective-en "críptic"-adjective-ca
"cryptocrystalline"-adjective-en "criptocristal·lí"-adjective-ca
"cryptographic"-adjective-en "criptogràfic"-adjective-ca
"crystalline"-adjective-en "cristal·lí"-adjective-ca
"crystallographic"-adjective-en "cristal·logràfic"-adjective-ca
"Cuban"-adjective-en "cubà"-adjective-ca
"cubic"-adjective-en "cúbic"-adjective-ca
"culinary"-adjective-en "culinari"-adjective-ca
"cultured"-adjective-en "cultivat"-adjective-ca
"cumbersome"-adjective-en "feixuc"-adjective-ca
"cumbersome"-adjective-en "pesat"-adjective-ca
"cumulative"-adjective-en "acumulatiu"-adjective-ca
"cumulative"-adjective-en "cumulatiu"-adjective-ca
"cupreous"-adjective-en "cuprós"-adjective-ca
"cupreous"-adjective-en "rogenc"-adjective-ca
"curious"-adjective-en "curiós"-adjective-ca
"curvilinear"-adjective-en "curvilini"-adjective-ca
"customary"-adjective-en "consuetudinari"-adjective-ca
"cutaneous"-adjective-en "cutani"-adjective-ca
"cyclical"-adjective-en "cíclic"-adjective-ca
"cyclic"-adjective-en "cíclic"-adjective-ca
"cyclonic"-adjective-en "ciclònic"-adjective-ca
"cyclotomic"-adjective-en "ciclotòmic"-adjective-ca
"cylindrical"-adjective-en "cilíndric"-adjective-ca
"cynical"-adjective-en "cínic"-adjective-ca
"Cyrillic"-adjective-en "ciríl·lic"-adjective-ca
"cytological"-adjective-en "citològic"-adjective-ca
"cytoplasmic"-adjective-en "citoplasmàtic"-adjective-ca
"Czechoslovak"-adjective-en "txecoslovac"-adjective-ca
"Dacian"-adjective-en "daci"-adjective-ca
"daily"-adjective-en "diari"-adjective-ca
"daily"-adjective-en "quotidià"-adjective-ca
"dairy"-adjective-en "làctic"-adjective-ca
"dairy"-adjective-en "lacti"-adjective-ca
"damned"-adjective-en "maleït"-adjective-ca
"damp"-adjective-en "humit"-adjective-ca
"dangerous"-adjective-en "perillós"-adjective-ca
"Danubian"-adjective-en "danubià"-adjective-ca
"dark-haired"-adjective-en "bru"-adjective-ca
"dark-haired"-adjective-en "morè"-adjective-ca
"Darwinian"-adjective-en "darwinià"-adjective-ca
"dasymetric"-adjective-en "dasimètric"-adjective-ca
"dative"-adjective-en "datiu"-adjective-ca
"dazzling"-adjective-en "enlluernador"-adjective-ca
"dead"-adjective-en "mort"-adjective-ca
"deafening"-adjective-en "ensordidor"-adjective-ca
"deafening"-adjective-en "estrepitós"-adjective-ca
"debilitating"-adjective-en "debilitador"-adjective-ca
"deceitful"-adjective-en "enganyós"-adjective-ca
"deceptive"-adjective-en "enganyós"-adjective-ca
"deciduous"-adjective-en "caducifoli"-adjective-ca
"decisive"-adjective-en "decisiu"-adjective-ca
"declarative"-adjective-en "declaratiu"-adjective-ca
"declaratory"-adjective-en "declaratiu"-adjective-ca
"declaratory"-adjective-en "declaratori"-adjective-ca
"decorative"-adjective-en "decoratiu"-adjective-ca
"decorous"-adjective-en "decorós"-adjective-ca
"deductive"-adjective-en "deductiu"-adjective-ca
"defeated"-adjective-en "vençut"-adjective-ca
"defective"-adjective-en "defectiu"-adjective-ca
"defective"-adjective-en "defectuós"-adjective-ca
"defenceless"-adjective-en "indefens"-adjective-ca
"defensive"-adjective-en "defensiu"-adjective-ca
"defiant"-adjective-en "desafiador"-adjective-ca
"definite"-adjective-en "definitiu"-adjective-ca
"definitive"-adjective-en "definitiu"-adjective-ca
"defunct"-adjective-en "difunt"-adjective-ca
"degenerate"-adjective-en "degenerat"-adjective-ca
"deleterious"-adjective-en "nociu"-adjective-ca
"deliberate"-adjective-en "deliberat"-adjective-ca
"delicate"-adjective-en "delicat"-adjective-ca
"delicious"-adjective-en "deliciós"-adjective-ca
