"eble"-adverb-eo "tal vegada"-adverb-ca
"malgraŭ"-preposition-eo "tot i"-preposition-ca
"tot i"-preposition-ca "malgraŭ"-preposition-eo
"ne"-adverb-eo "pas"-adverb-ca
"pas"-adverb-ca "ne"-adverb-eo
"pas"-adverb-ca "ne-"-adverb-eo
"ne-"-adverb-eo "pas"-adverb-ca
"damunt"-adverb-ca "supre"-adverb-eo
"supre"-adverb-eo "damunt"-adverb-ca
"anit"-adverb-ca "hieraŭ nokte"-adverb-eo
"hieraŭ nokte"-adverb-eo "anit"-adverb-ca
"ĉie"-adverb-eo "per tot arreu"-adverb-ca
"per tot arreu"-adverb-ca "ĉie"-adverb-eo
"firmeco"-noun-eo "fermesa"-noun-ca
"fermesa"-noun-ca "firmeco"-noun-eo
"camperol"-noun-ca "kamparano"-noun-eo
"kamparano"-noun-eo "camperol"-noun-ca
"televidilo"-noun-eo "tele"-noun-ca
"tele"-noun-ca "televidilo"-noun-eo
"kamioneto"-noun-eo "furgoneta"-noun-ca
"furgoneta"-noun-ca "kamioneto"-noun-eo
"foscor"-noun-ca "mallumo"-noun-eo
"mallumo"-noun-eo "foscor"-noun-ca
"mallumo"-noun-eo "fosca"-noun-ca
"fosca"-noun-ca "mallumo"-noun-eo
"buso"-noun-eo "bus"-noun-ca
"bus"-noun-ca "buso"-noun-eo
"fama"-adjective-eo "cèlebre"-adjective-ca
"cèlebre"-adjective-ca "fama"-adjective-eo
"kuba"-adjective-eo "cúbic"-adjective-ca
"cúbic"-adjective-ca "kuba"-adjective-eo
"kunlabora"-adjective-eo "cooperatiu"-adjective-ca
"cooperatiu"-adjective-ca "kunlabora"-adjective-eo
"mara"-adjective-eo "marès"-adjective-ca
"marès"-adjective-ca "mara"-adjective-eo
"senmanka"-adjective-eo "impecable"-adjective-ca
"impecable"-adjective-ca "senmanka"-adjective-eo
"norma"-adjective-eo "normatiu"-adjective-ca
"normatiu"-adjective-ca "norma"-adjective-eo
"katastrofa"-adjective-eo "desastrós"-adjective-ca
"desastrós"-adjective-ca "katastrofa"-adjective-eo
"atesti"-verb-eo "testificar"-verb-ca
"testificar"-verb-ca "atesti"-verb-eo
"Bangladeŝo"-properNoun-eo "Bangladesh"-properNoun-ca
"Bangladesh"-properNoun-ca "Bangladeŝo"-properNoun-eo
"Barcelono"-properNoun-eo "Barcelona"-noun-ca
"Barcelona"-noun-ca "Barcelono"-properNoun-eo
"Lisbono"-properNoun-eo "Lisboa"-noun-ca
"Lisboa"-noun-ca "Lisbono"-properNoun-eo
"via"-adjective-eo "vostre"-adjective-ca
"vostre"-adjective-ca "via"-adjective-eo
"bedaŭrinde"-adverb-eo "desafortunadament"-adverb-ca
"desafortunadament"-adverb-ca "bedaŭrinde"-adverb-eo
"desafortunadament"-adverb-ca "malfeliĉe"-adverb-eo
"malfeliĉe"-adverb-eo "desafortunadament"-adverb-ca
"originalment"-adverb-ca "origine"-adverb-eo
"origine"-adverb-eo "originalment"-adverb-ca
"sekrete"-adverb-eo "en secret"-adverb-ca
"en secret"-adverb-ca "sekrete"-adverb-eo
"barbeta"-noun-ca "mentono"-noun-eo
"mentono"-noun-eo "barbeta"-noun-ca
"tombejo"-noun-eo "fossar"-noun-ca
"fossar"-noun-ca "tombejo"-noun-eo
"teló"-noun-ca "kurteno"-noun-eo
"kurteno"-noun-eo "teló"-noun-ca
"sequedat"-noun-ca "sekeco"-noun-eo
"sekeco"-noun-eo "sequedat"-noun-ca
"sekeco"-noun-eo "sequera"-noun-ca
"sequera"-noun-ca "sekeco"-noun-eo
"uragano"-noun-eo "huracà"-noun-ca
"huracà"-noun-ca "uragano"-noun-eo
"fanal"-noun-ca "lanterno"-noun-eo
"lanterno"-noun-eo "fanal"-noun-ca
"paradigmo"-noun-eo "paradigma"-noun-ca
"paradigma"-noun-ca "paradigmo"-noun-eo
"taga"-adjective-eo "diürn"-adjective-ca
"diürn"-adjective-ca "taga"-adjective-eo
"metala"-adjective-eo "metàl·lic"-adjective-ca
"metàl·lic"-adjective-ca "metala"-adjective-eo
"kaprica"-adjective-eo "capritxós"-adjective-ca
"capritxós"-adjective-ca "kaprica"-adjective-eo
"obsedi"-verb-eo "obsessionar"-verb-ca
"obsessionar"-verb-ca "obsedi"-verb-eo
"deliro"-noun-eo "deliri"-noun-ca
"deliri"-noun-ca "deliro"-noun-eo
"dècim"-adjective-ca "deka"-adjective-eo
"deka"-adjective-eo "dècim"-adjective-ca
"plusvàlua"-noun-ca "plusvaloro"-noun-eo
"plusvaloro"-noun-eo "plusvàlua"-noun-ca
"trimestralment"-adverb-ca "trimonate"-adverb-eo
"trimonate"-adverb-eo "trimestralment"-adverb-ca
"Llemotges"-properNoun-ca "Limoges"-properNoun-eo
"Limoges"-properNoun-eo "Llemotges"-properNoun-ca
"Butano"-properNoun-eo "Bhutan"-properNoun-ca
"Bhutan"-properNoun-ca "Butano"-properNoun-eo
