"3MA"-properNoun-fra "3MA"-properNoun-spa
"appeler"-verb-fra "instar"-verb-spa
"appeler un chat un chat"-verb-fra "llamar al pan pan y al vino vino"-verb-spa
"appellatif"-adjective-fra "apelativo"-adjective-spa
"appellation"-noun-fra "apelación"-noun-spa
"appendice"-noun-fra "apéndice"-noun-spa
"appendicite"-noun-fra "apendicitis"-noun-spa
"appendicite"-noun-fra "apendicitis"-noun-spa
"appendicite"-noun-fra "apendicitis"-noun-spa
"appétissant"-adjective-fra "apetitoso"-adjective-spa
"appétissant"-adjective-fra "apetecible"-adjective-spa
"appétissant"-adjective-fra "apetecible"-adjective-spa
"appétissant"-adjective-fra "apetecible"-adjective-spa
"appétit"-noun-fra "apetito"-noun-spa
"appétit"-noun-fra "gana"-noun-spa
"applaudir"-verb-fra "aplaudir"-verb-spa
"applaudissement"-noun-fra "aplauso"-noun-spa
"Apple"-properNoun-fra "Apple"-properNoun-spa
"applicabilité"-noun-fra "aplicabilidad"-noun-spa
"applicable"-adjective-fra "aplicable"-adjective-spa
"applicateur"-adjective-fra "aplicativo"-adjective-spa
"application"-noun-fra "aplicación"-noun-spa
"appliquer"-verb-fra "aplicar"-verb-spa
"appointer"-verb-fra "pagar"-verb-spa
"apport"-noun-fra "aportación"-noun-spa
"apporter"-verb-fra "aportar"-verb-spa
"apporter de l'eau au moulin"-verb-fra "arrimar el ascua a su sardina"-verb-spa
"apposer"-verb-fra "fijar"-verb-spa
"appréciable"-adjective-fra "apreciable"-adjective-spa
"appréciation"-noun-fra "apreciación"-noun-spa
"apprécier"-verb-fra "apreciar"-verb-spa
"appréhender"-verb-fra "aprehender"-verb-spa
"apprendre"-verb-fra "aprender"-verb-spa
"apprendre"-verb-fra "aprender"-verb-spa
"apprendre"-verb-fra "enterar"-verb-spa
"apprenti"-noun-fra "aprendiz"-noun-spa
"apprentissage"-noun-fra "aprendizaje"-noun-spa
"apprêt"-noun-fra "adobo"-noun-spa
"apprêté"-adjective-fra "afectado"-adjective-spa
"apprêter"-verb-fra "aprestar"-verb-spa
"apprivoiser"-verb-fra "apaciguar"-verb-spa
"approbation"-noun-fra "aprobación"-noun-spa
"approbation"-noun-fra "visto bueno"-noun-spa
"approchant"-adverb-fra "aproximadamente"-adverb-spa
"approche"-noun-fra "enfoque"-noun-spa
"approcher"-verb-fra "aproximar"-verb-spa
"approcher"-verb-fra "avecinar"-verb-spa
"approfondir"-verb-fra "profundizar"-verb-spa
"approfondir"-verb-fra "ahondar"-verb-spa
"appropriation"-noun-fra "apropiación"-noun-spa
"approprié"-adjective-fra "apropiado"-adjective-spa
"approprié"-adjective-fra "adecuado"-adjective-spa
"approprier"-verb-fra "apropiar"-verb-spa
"approuver"-verb-fra "estar de acuerdo"-verb-spa
"approuver"-verb-fra "aprobar"-verb-spa
"approuver à l'unanimité"-verb-fra "aprobar por unanimidad"-verb-spa
"approvisionné"-adjective-fra "provisionado"-adjective-spa
"approvisionnement"-noun-fra "acopio"-noun-spa
"approvisionnement"-noun-fra "aprovisionamiento"-noun-spa
"approvisionnement"-noun-fra "abasto"-noun-spa
"approvisionner"-verb-fra "abastecer"-verb-spa
"approximation"-noun-fra "aproximación"-noun-spa
"appui"-noun-fra "espaldarazo"-noun-spa
"appuyer"-verb-fra "apoyar"-verb-spa
"appuyer sur"-verb-fra "pulsar"-verb-spa
"âpre"-adjective-fra "áspero"-adjective-spa
"âpre"-adjective-fra "áspero"-adjective-spa
"âpre"-adjective-fra "áspero"-adjective-spa
"après"-adverb-fra "después"-adverb-spa
"après"-preposition-fra "después de"-preposition-spa
"après"-adverb-fra "luego"-adverb-spa
"après"-preposition-fra "tras de"-preposition-spa
"après"-preposition-fra "tras"-preposition-spa
"après coup"-adverb-fra "a destiempo"-adverb-spa
"après paiement"-noun-fra "previo pago"-noun-spa
"après que"-subordinatingConjunction-fra "después de que"-subordinatingConjunction-spa
"après quoi"-subordinatingConjunction-fra "después de lo cual"-subordinatingConjunction-spa
"après tout"-adverb-fra "después de todo"-adverb-spa
"après-midi"-noun-fra "tarde"-noun-spa
"après-midi"-noun-fra "tarde"-noun-spa
"Aprilia"-properNoun-fra "Aprilia"-properNoun-spa
"apte"-adjective-fra "apto"-adjective-spa
"apte"-adjective-fra "apto"-adjective-spa
"apte"-adjective-fra "apto"-adjective-spa
"aptitude"-noun-fra "aptitud"-noun-spa
"Aqaba"-properNoun-fra "Aqaba"-properNoun-spa
"Aqualung"-properNoun-fra "Aqualung"-properNoun-spa
"aquarelle"-noun-fra "acuarela"-noun-spa
"aquarium"-noun-fra "aucuario"-noun-spa
"Aquarium"-properNoun-fra "Aquarium"-properNoun-spa
"aquatique"-adjective-fra "acuático"-adjective-spa
"aquatique"-adjective-fra "acuático"-adjective-spa
"aquatique"-adjective-fra "acuático"-adjective-spa
"Aquerreta"-properNoun-fra "Aquerreta"-properNoun-spa
"aquiculture"-noun-fra "acuicultura"-noun-spa
"Aquilino"-properNoun-fra "Aquilino"-properNoun-spa
"Aquitaine"-properNoun-fra "Aquitania"-properNoun-spa
"Aquitaine"-properNoun-fra "Aquitania"-properNoun-spa
"Araba"-properNoun-fra "Araba"-properNoun-spa
"arabe"-adjective-fra "árabe"-adjective-spa
"arabe"-adjective-fra "árabe"-adjective-spa
"arabe"-noun-fra "árabe"-noun-spa
"Arabia"-properNoun-fra "Arabia"-properNoun-spa
"Arabie"-properNoun-fra "Arabia"-properNoun-spa
"Arabie Saoudite"-properNoun-fra "Arabia Saudita"-properNoun-spa
"Arabsat"-properNoun-fra "Arabsat"-properNoun-spa
"Araceli"-properNoun-fra "Araceli"-properNoun-spa
"Aracena"-properNoun-fra "Aracena"-properNoun-spa
"Arafat"-properNoun-fra "Arafat"-properNoun-spa
"Arag"-properNoun-fra "Arag"-properNoun-spa
"Aragon"-properNoun-fra "Aragón"-properNoun-spa
"Aragon"-properNoun-fra "Aragón"-properNoun-spa
"Aragon"-properNoun-fra "Aragon"-properNoun-spa
"aragonais"-adjective-fra "aragonés"-adjective-spa
"aragonais"-adjective-fra "aragonés"-adjective-spa
"aragonais"-adjective-fra "aragonés"-adjective-spa
"aragonais"-adjective-fra "aragonés"-adjective-spa
"Aragonés"-properNoun-fra "Aragonés"-properNoun-spa
"Aragues del Puerto"-properNoun-fra "Aragues del Puerto"-properNoun-spa
"Araia"-properNoun-fra "Araia"-properNoun-spa
"araignée"-noun-fra "araña"-noun-spa
"Araitz"-properNoun-fra "Araitz"-properNoun-spa
"Araiz"-properNoun-fra "Araiz"-properNoun-spa
"Arakaldo"-properNoun-fra "Arakaldo"-properNoun-spa
"Arakama"-properNoun-fra "Arakama"-properNoun-spa
"Arakil"-properNoun-fra "Arakil"-properNoun-spa
"Arakistain"-properNoun-fra "Arakistain"-properNoun-spa
"Aralar"-properNoun-fra "Aralar"-properNoun-spa
"Aramaio"-properNoun-fra "Aramaio"-properNoun-spa
"Aramangelu"-properNoun-fra "Aramangelu"-properNoun-spa
"Arambarri"-properNoun-fra "Arambarri"-properNoun-spa
"Aramburu"-properNoun-fra "Aramburu"-properNoun-spa
"Aramburuzabala"-properNoun-fra "Aramburuzabala"-properNoun-spa
"Aramendia"-properNoun-fra "Aramendia"-properNoun-spa
"Aramendi"-properNoun-fra "Aramendi"-properNoun-spa
"Arana"-properNoun-fra "Arana"-properNoun-spa
"Aranaga"-properNoun-fra "Aranaga"-properNoun-spa
"aranais"-adjective-fra "aranés"-adjective-spa
"aranais"-adjective-fra "aranés"-adjective-spa
"aranais"-adjective-fra "aranés"-adjective-spa
"aranais"-adjective-fra "aranés"-adjective-spa
"Aranalde"-properNoun-fra "Aranalde"-properNoun-spa
"Aranbarri"-properNoun-fra "Aranbarri"-properNoun-spa
"Aranberri"-properNoun-fra "Aranberri"-properNoun-spa
"Aranburu"-properNoun-fra "Aranburu"-properNoun-spa
"Aranda"-properNoun-fra "Aranda"-properNoun-spa
"Arandia"-properNoun-fra "Arandia"-properNoun-spa
"Aranegi"-properNoun-fra "Aranegi"-properNoun-spa
"Arangiz"-properNoun-fra "Arangiz"-properNoun-spa
"Arango"-properNoun-fra "Arango"-properNoun-spa
"Arangoiti"-properNoun-fra "Arangoiti"-properNoun-spa
"Aranguiz"-properNoun-fra "Aranguiz"-properNoun-spa
"Aranguren"-properNoun-fra "Aranguren"-properNoun-spa
"Aranjuez"-properNoun-fra "Aranjuez"-properNoun-spa
"Arantxa"-properNoun-fra "Arantxa"-properNoun-spa
"Arantza"-properNoun-fra "Arantza"-properNoun-spa
"Arantzategi"-properNoun-fra "Arantzategi"-properNoun-spa
"Arantzatzu"-properNoun-fra "Arantzatzu"-properNoun-spa
"Arantzeta"-properNoun-fra "Arantzeta"-properNoun-spa
"Aranzabal"-properNoun-fra "Aranzabal"-properNoun-spa
"Aranzadi"-properNoun-fra "Aranzadi"-properNoun-spa
"Aranzana"-properNoun-fra "Aranzana"-properNoun-spa
"Aranzazu"-properNoun-fra "Aranzazu"-properNoun-spa
"Aránzazu"-properNoun-fra "Aránzazu"-properNoun-spa
"Aranzegi"-properNoun-fra "Aranzegi"-properNoun-spa
"Aranzubia"-properNoun-fra "Aranzubia"-properNoun-spa
"Aranzubi"-properNoun-fra "Aranzubi"-properNoun-spa
"Aranzubía"-properNoun-fra "Aranzubía"-properNoun-spa
"Araque"-properNoun-fra "Araque"-properNoun-spa
"Ararat"-properNoun-fra "Ararat"-properNoun-spa
"Ararteko"-properNoun-fra "Ararteko"-properNoun-spa
"Arassus"-properNoun-fra "Arassus"-properNoun-spa
"Arata Isozaki"-properNoun-fra "Arata Isozaki"-properNoun-spa
"Aratz"-properNoun-fra "Aratz"-properNoun-spa
"Araujo"-properNoun-fra "Araujo"-properNoun-spa
"Aravaca"-properNoun-fra "Aravaca"-properNoun-spa
"Araxe"-properNoun-fra "Araks"-properNoun-spa
"Arazu"-properNoun-fra "Arazu"-properNoun-spa
"Arazuri"-properNoun-fra "Arazuri"-properNoun-spa
"Arbe"-properNoun-fra "Arbe"-properNoun-spa
"Arbelaitz"-properNoun-fra "Arbelaitz"-properNoun-spa
"Arbeloa"-properNoun-fra "Arbeloa"-properNoun-spa
"Arbeo"-properNoun-fra "Arbeo"-properNoun-spa
"Arbéroue"-properNoun-fra "Arberoa"-properNoun-spa
"Arbide"-properNoun-fra "Arbide"-properNoun-spa
"arbitrage"-noun-fra "arbitraje"-noun-spa
"arbitrage"-noun-fra "laudo"-noun-spa
"arbitraire"-noun-fra "arbitrariedad"-noun-spa
"arbitraire"-adjective-fra "arbitrario"-adjective-spa
"arbitraire"-adjective-fra "arbitrario"-adjective-spa
"arbitraire"-adjective-fra "arbitrario"-adjective-spa
"arbitral"-adjective-fra "arbitral"-adjective-spa
"arbitral"-adjective-fra "arbitral"-adjective-spa
"arbitral"-adjective-fra "arbitral"-adjective-spa
"arbitre"-noun-fra "árbitro"-noun-spa
"arbitre"-noun-fra "colegiado"-noun-spa
"arbitrer"-verb-fra "arbitrar"-verb-spa
"Arbizolea"-properNoun-fra "Arbizolea"-properNoun-spa
"Arbizu"-properNoun-fra "Arbizu"-properNoun-spa
"Arbó"-properNoun-fra "Arbó"-properNoun-spa
"Arbolitos"-properNoun-fra "Arbolitos"-properNoun-spa
"Arbona"-properNoun-fra "Arbona"-properNoun-spa
"arboré"-adjective-fra "arbolado"-adjective-spa
"Arbour"-properNoun-fra "Arbour"-properNoun-spa
"arbre"-noun-fra "árbol"-noun-spa
"arbre"-noun-fra "árbol"-noun-spa
"Arbulu"-properNoun-fra "Arbulu"-properNoun-spa
"Arburua"-properNoun-fra "Arburua"-properNoun-spa
"arbuste"-noun-fra "arbusto"-noun-spa
"ARC"-noun-fra "ARC"-noun-spa
"arc"-noun-fra "arco"-noun-spa
"Arcachon"-properNoun-fra "Arcachón"-properNoun-spa
"Arcadi"-properNoun-fra "Arcadi"-properNoun-spa
"Arcas"-properNoun-fra "Arcas"-properNoun-spa
"Arcaute"-properNoun-fra "Arcaute"-properNoun-spa
"Arcauz"-properNoun-fra "Arcauz"-properNoun-spa
"Arcco"-properNoun-fra "Arcco"-properNoun-spa
"Arce"-properNoun-fra "Arce"-properNoun-spa
"Arcelor"-properNoun-fra "Arcelor"-properNoun-spa
"Arcelus"-properNoun-fra "Arcelus"-properNoun-spa
"Arcentales"-properNoun-fra "Arcentales"-properNoun-spa
"arc -en-ciel"-noun-fra "arco iris"-noun-spa
"Archanco"-properNoun-fra "Archanco"-properNoun-spa
"archange"-noun-fra "arcángel"-noun-spa
"arche"-noun-fra "arco"-noun-spa
"Arche de Noé"-properNoun-fra "Arca de Noé"-properNoun-spa
"archéologique"-adjective-fra "arqueológico"-adjective-spa
"archéologique"-adjective-fra "arqueológico"-adjective-spa
"archéologique"-adjective-fra "arqueológico"-adjective-spa
"archevêché"-noun-fra "archidiócesis"-noun-spa
"archevêché"-noun-fra "archidiócesis"-noun-spa
"archevêché"-noun-fra "archidiócesis"-noun-spa
"archevêque"-noun-fra "arzobispo"-noun-spa
"Archibald"-properNoun-fra "Archibald"-properNoun-spa
"Archie"-properNoun-fra "Archie"-properNoun-spa
"archipel"-noun-fra "archipiélago"-noun-spa
"Archipel Arctique"-properNoun-fra "Archipiélago Ártico"-properNoun-spa
"Archipel de la Sonde"-properNoun-fra "Archipiélago de Sonda"-properNoun-spa
"Archipel François Joseph"-properNoun-fra "Tierra de Francisco Jose"-properNoun-spa
"archiprêtre"-noun-fra "arcipreste"-noun-spa
"archiprotégé"-adjective-fra "archiprotegido"-adjective-spa
"architecte"-noun-fra "arquitecto"-noun-spa
"architecte"-noun-fra "arquitecto"-noun-spa
"architecte"-noun-fra "arquitecto"-noun-spa
"architecture"-noun-fra "arquitectura"-noun-spa
"archiver"-verb-fra "archivar"-verb-spa
"archives"-noun-fra "archivo"-noun-spa
"archives"-noun-fra "archivo"-noun-spa
"Archives des Indes"-properNoun-fra "Archivo de Indias"-properNoun-spa
"archiviste"-noun-fra "archivero"-noun-spa
"archiviste"-noun-fra "archivero"-noun-spa
"archiviste"-noun-fra "archivero"-noun-spa
"ARCIS"-noun-fra "ARCIS"-noun-spa
"Arconada"-properNoun-fra "Arconada"-properNoun-spa
"Arctique"-properNoun-fra "Ártico"-properNoun-spa
"Ardanza"-properNoun-fra "Ardanza"-properNoun-spa
"Ardatza"-properNoun-fra "Ardatza"-properNoun-spa
"Ardèche"-properNoun-fra "Ardèche"-properNoun-spa
"Ardela"-properNoun-fra "Ardela"-properNoun-spa
"Ardennes"-properNoun-fra "Ardenas"-properNoun-spa
"ardent"-adjective-fra "ardiente"-adjective-spa
"ardent"-adjective-fra "ardiente"-adjective-spa
"ardent"-adjective-fra "ardiente"-adjective-spa
"Ardiden"-properNoun-fra "Ardiden"-properNoun-spa
"Ardila"-properNoun-fra "Ardila"-properNoun-spa
"Arditurri"-properNoun-fra "Arditurri"-properNoun-spa
"Ardouin"-properNoun-fra "Ardouin"-properNoun-spa
"ardu"-adjective-fra "arduo"-adjective-spa
"Areatza"-properNoun-fra "Areatza"-properNoun-spa
"Areeta"-properNoun-fra "Areeta"-properNoun-spa
"Aregall"-properNoun-fra "Aregall"-properNoun-spa
"Areiltza"-properNoun-fra "Areiltza"-properNoun-spa
"Areitio"-properNoun-fra "Areitio"-properNoun-spa
"Areizaga"-properNoun-fra "Areizaga"-properNoun-spa
"Arejita"-properNoun-fra "Arejita"-properNoun-spa
"Arejula"-properNoun-fra "Arejula"-properNoun-spa
"Arekeev"-properNoun-fra "Arekeev"-properNoun-spa
"Arenal"-properNoun-fra "Arenal"-properNoun-spa
"Arenaza"-properNoun-fra "Arenaza"-properNoun-spa
"Arenberg"-properNoun-fra "Arenberg"-properNoun-spa
"arène"-noun-fra "arena"-noun-spa
"Areo"-properNoun-fra "Areo"-properNoun-spa
"Arequipa"-properNoun-fra "Arequipa"-properNoun-spa
"Aresketa"-properNoun-fra "Aresketa"-properNoun-spa
"Areso"-properNoun-fra "Areso"-properNoun-spa
"Aresti"-properNoun-fra "Aresti"-properNoun-spa
"Areta"-properNoun-fra "Areta"-properNoun-spa
"Aretxabala"-properNoun-fra "Aretxabala"-properNoun-spa
"Aretxabaleta"-properNoun-fra "Aretxabaleta"-properNoun-spa
"Aretxaga"-properNoun-fra "Aretxaga"-properNoun-spa
"Areva"-properNoun-fra "Areva"-properNoun-spa
"Arévalo"-properNoun-fra "Arévalo"-properNoun-spa
"Arezzo"-properNoun-fra "Arezzo"-properNoun-spa
"Arga"-properNoun-fra "Arga"-properNoun-spa
"Argaitz"-properNoun-fra "Argaitz"-properNoun-spa
"Argaiz"-properNoun-fra "Argaiz"-properNoun-spa
"Arganda"-properNoun-fra "Arganda"-properNoun-spa
"Argemi"-properNoun-fra "Argemi"-properNoun-spa
"argent"-noun-fra "dinero"-noun-spa
"argent"-noun-fra "plata"-noun-spa
"argent"-noun-fra "dinero"-noun-spa
"Argentaria"-properNoun-fra "Argentaria"-properNoun-spa
"argentin"-adjective-fra "argentino"-adjective-spa
"argentin"-noun-fra "argentino"-noun-spa
"Argentine"-properNoun-fra "Argentina"-properNoun-spa
"Argentine"-properNoun-fra "Argentina"-properNoun-spa
"Argia"-properNoun-fra "Argia"-properNoun-spa
"argile"-noun-fra "arcilla"-noun-spa
"Argiñano"-properNoun-fra "Argiñano"-properNoun-spa
"Argira"-properNoun-fra "Argira"-properNoun-spa
"Argitxu"-properNoun-fra "Argitxu"-properNoun-spa
"Argoitia"-properNoun-fra "Argoitia"-properNoun-spa
"Argómaniz"-properNoun-fra "Argómaniz"-properNoun-spa
"Argos"-properNoun-fra "Argos"-properNoun-spa
"argot"-noun-fra "argot"-noun-spa
"Argote"-properNoun-fra "Argote"-properNoun-spa
"Arguedas"-properNoun-fra "Arguedas"-properNoun-spa
"Arguilé"-properNoun-fra "Arguilé"-properNoun-spa
"Arguiñano"-properNoun-fra "Arguiñano"-properNoun-spa
"argument"-noun-fra "argumento"-noun-spa
"argumentaire"-noun-fra "argumentación"-noun-spa
"argumentation"-noun-fra "argumentación"-noun-spa
"argumenter"-verb-fra "argumentar"-verb-spa
"Ariadna"-properNoun-fra "Ariadna"-properNoun-spa
"Ariani"-properNoun-fra "Ariani"-properNoun-spa
"Arias"-properNoun-fra "Arias"-properNoun-spa
"Aribe"-properNoun-fra "Aribe"-properNoun-spa
"aridification"-noun-fra "aridificación"-noun-spa
"Ariège"-properNoun-fra "Ariège"-properNoun-spa
"Ariel"-properNoun-fra "Ariel"-properNoun-spa
"Ariel Sharon"-properNoun-fra "Ariel Sharón"-properNoun-spa
"Arin-Arin"-properNoun-fra "Arin-Arin"-properNoun-spa
"Aring"-properNoun-fra "Aring"-properNoun-spa
"Aristote"-properNoun-fra "Aristóteles"-properNoun-spa
"Aristote"-properNoun-fra "Aristóteles"-properNoun-spa
"Aristote Onassis"-properNoun-fra "Aristóteles Onassis"-properNoun-spa
"arithmétique"-noun-fra "aritmética"-noun-spa
"Aritz"-properNoun-fra "Aritz"-properNoun-spa
"Arizmendiarrieta"-properNoun-fra "Arizmendiarrieta"-properNoun-spa
"Arizona"-properNoun-fra "Arizona"-properNoun-spa
"Arjona"-properNoun-fra "Arjona"-properNoun-spa
"Arkaitz"-properNoun-fra "Arkaitz"-properNoun-spa
"Arkansas"-properNoun-fra "Arkansas"-properNoun-spa
"Arkhangelsk"-properNoun-fra "Arkangel"-properNoun-spa
"Arkote"-properNoun-fra "Arkote"-properNoun-spa
"Arlanza"-properNoun-fra "Arlanza"-properNoun-spa
"Arlanzón"-properNoun-fra "Arlanzón"-properNoun-spa
"Arlequin"-properNoun-fra "Arlequín"-properNoun-spa
"Arlette"-properNoun-fra "Arlette"-properNoun-spa
"Armagnac"-properNoun-fra "Armañac"-properNoun-spa
"Armand"-properNoun-fra "Armand"-properNoun-spa
"Armand"-properNoun-fra "Armand"-properNoun-spa
"Armando"-properNoun-fra "Armando"-properNoun-spa
"arme"-noun-fra "arma"-noun-spa
"arme biologique"-noun-fra "arma biológica"-noun-spa
"arme chimique"-noun-fra "arma química"-noun-spa
"arme nucléaire"-noun-fra "arma nuclear"-noun-spa
"armée"-noun-fra "ejército"-noun-spa
"Armee Blanche"-properNoun-fra "Armada Blanca"-properNoun-spa
"Armée Rouge"-properNoun-fra "Armada Roja"-properNoun-spa
"Armenia"-properNoun-fra "Armenia"-properNoun-spa
"arménien"-adjective-fra "armenio"-adjective-spa
"armer"-verb-fra "armar"-verb-spa
"armistice"-noun-fra "armisticio"-noun-spa
"armoire"-noun-fra "armario"-noun-spa
"Armstrong"-properNoun-fra "Armstrong"-properNoun-spa
"armurier"-noun-fra "armero"-noun-spa
"Army Wives"-properNoun-fra "Army Wives"-properNoun-spa
"Arnaldo"-properNoun-fra "Arnaldo"-properNoun-spa
"arnaque"-noun-fra "timo"-noun-spa
"Arnau"-properNoun-fra "Arnau"-properNoun-spa
"Arnaud"-properNoun-fra "Arnaud"-properNoun-spa
"Arnaud"-properNoun-fra "Arnaud"-properNoun-spa
"Arnault"-properNoun-fra "Arnault"-properNoun-spa
"Arnotegi"-properNoun-fra "Arnotegi"-properNoun-spa
"Aroca"-properNoun-fra "Aroca"-properNoun-spa
"aromatisation"-noun-fra "aromatización"-noun-spa
"arôme"-noun-fra "aroma"-noun-spa
"Arotz Enea"-properNoun-fra "Arotz Enea"-properNoun-spa
"Arotz-Enea"-properNoun-fra "Arotz-Enea"-properNoun-spa
"Arousa"-properNoun-fra "Arousa"-properNoun-spa
"arraché"-noun-fra "arranque"-noun-spa
"arracher"-verb-fra "arrancar"-verb-spa
"arranger"-verb-fra "arreglar"-verb-spa
"Arras"-properNoun-fra "Arras"-properNoun-spa
"Arrasate"-properNoun-fra "Arrasate"-properNoun-spa
"Arrate"-properNoun-fra "Arrate"-properNoun-spa
"Arratia"-properNoun-fra "Arratia"-properNoun-spa
"Arraun"-properNoun-fra "Arraun"-properNoun-spa
"Arrecife"-properNoun-fra "Arrecife"-properNoun-spa
"Arregi"-properNoun-fra "Arregi"-properNoun-spa
"arrestation"-noun-fra "arresto"-noun-spa
"arrestation"-noun-fra "detención"-noun-spa
"arrêt"-noun-fra "parada"-noun-spa
"arrêté"-noun-fra "decreto"-noun-spa
"arrêter"-verb-fra "arrestar"-verb-spa
"arrêter"-verb-fra "detener"-verb-spa
"arrêter"-verb-fra "parar"-verb-spa
"Arretxe"-properNoun-fra "Arretxe"-properNoun-spa
"Arriaga"-properNoun-fra "Arriaga"-properNoun-spa
"Arricau"-properNoun-fra "Arricau"-properNoun-spa
"arrière"-adjective-fra "posterior"-adjective-spa
"arrière-boutique"-noun-fra "trastienda"-noun-spa
"arriérer"-verb-fra "retrasar"-verb-spa
"Arrieta"-properNoun-fra "Arrieta"-properNoun-spa
"Arrigorriaga"-properNoun-fra "Arrigorriaga"-properNoun-spa
"Arrilucea"-properNoun-fra "Arrilucea"-properNoun-spa
"Arritxu"-properNoun-fra "Arritxu"-properNoun-spa
"arrivée"-noun-fra "llegada"-noun-spa
"arriver"-verb-fra "llegar"-verb-spa
"arriver"-verb-fra "ocurrir"-verb-spa
"arriver"-verb-fra "suceder"-verb-spa
"arriver à échéance"-verb-fra "vencer el plazo"-verb-spa
"arriver à la cheville"-verb-fra "llegar al tobillo"-verb-spa
"arriver à la cheville"-verb-fra "llegar a la suela del zapato"-verb-spa
"Arrizabalaga"-properNoun-fra "Arrizabalaga"-properNoun-spa
"arrondir"-verb-fra "redondear"-verb-spa
"arrondisement"-noun-fra "distrito"-noun-spa
"arrondissement"-noun-fra "redondeo"-noun-spa
"arrosage"-noun-fra "riego"-noun-spa
"arroser"-verb-fra "regar"-verb-spa
"Arroyo"-properNoun-fra "Arroyo"-properNoun-spa
"Arruabarrena"-properNoun-fra "Arruabarrena"-properNoun-spa
"Arrupe"-properNoun-fra "Arrupe"-properNoun-spa
"arsenal"-noun-fra "arsenal"-noun-spa
"art"-noun-fra "arte"-noun-spa
"art"-noun-fra "arte"-noun-spa
"Artaud"-properNoun-fra "Artaud"-properNoun-spa
"Artea"-properNoun-fra "Artea"-properNoun-spa
"Arteaga"-properNoun-fra "Arteaga"-properNoun-spa
"artère"-noun-fra "arteria"-noun-spa
"Arteta"-properNoun-fra "Arteta"-properNoun-spa
"Artetxe"-properNoun-fra "Artetxe"-properNoun-spa
"Arthur"-properNoun-fra "Arthur"-properNoun-spa
"Artibai"-properNoun-fra "Artibai"-properNoun-spa
"artichaut"-noun-fra "alcachofa"-noun-spa
"article"-noun-fra "artículo"-noun-spa
"articulation"-noun-fra "articulación"-noun-spa
"articuler"-verb-fra "articular"-verb-spa
"artificiel"-adjective-fra "artificial"-adjective-spa
"artificiel"-adjective-fra "artificial"-adjective-spa
"artificiel"-adjective-fra "artificial"-adjective-spa
"artificiellement"-adverb-fra "artificialmente"-adverb-spa
"artificier"-noun-fra "artificiero"-noun-spa
"Artigas"-properNoun-fra "Artigas"-properNoun-spa
"artisan"-adjective-fra "artesano"-adjective-spa
"artisan"-noun-fra "artesano"-noun-spa
"artisan"-noun-fra "artífice"-noun-spa
"artisan"-noun-fra "artífice"-noun-spa
"artisan"-noun-fra "artífice"-noun-spa
"artisanal"-adjective-fra "artesanal"-adjective-spa
"artisanal"-adjective-fra "artesanal"-adjective-spa
"artisanal"-adjective-fra "artesanal"-adjective-spa
"artiste"-noun-fra "artista"-noun-spa
"artistique"-adjective-fra "artístico"-adjective-spa
"artistique"-adjective-fra "artístico"-adjective-spa
"artistique"-adjective-fra "artístico"-adjective-spa
"Artium"-properNoun-fra "Artium"-properNoun-spa
"Artois"-properNoun-fra "Artois"-properNoun-spa
"Artur"-properNoun-fra "Artur"-properNoun-spa
"Arturo"-properNoun-fra "Arturo"-properNoun-spa
"Artxanda"-properNoun-fra "Artxanda"-properNoun-spa
"Artziniega"-properNoun-fra "Artziniega"-properNoun-spa
"Aruba"-properNoun-fra "Aruba"-properNoun-spa
"Arvydas"-properNoun-fra "Arvydas"-properNoun-spa
"as"-noun-fra "as"-noun-spa
"as"-noun-fra "as"-noun-spa
"as"-noun-fra "as"-noun-spa
"ascendant"-adjective-fra "ascendente"-adjective-spa
"ascendant"-adjective-fra "ascendiente"-adjective-spa
"ascendant"-adjective-fra "ascendente"-adjective-spa
"ascendant"-adjective-fra "ascendiente"-adjective-spa
"ascendant"-adjective-fra "ascendente"-adjective-spa
"ascendant"-adjective-fra "ascendiente"-adjective-spa
"ascension"-noun-fra "ascensión"-noun-spa
"Asensi"-properNoun-fra "Asensi"-properNoun-spa
"Asensio"-properNoun-fra "Asensio"-properNoun-spa
"Asepam"-properNoun-fra "Asepam"-properNoun-spa
"Asepeyo"-properNoun-fra "Asepeyo"-properNoun-spa
"Ash"-properNoun-fra "Ash"-properNoun-spa
"Ashland"-properNoun-fra "Ashland"-properNoun-spa
"asiatique"-adjective-fra "asiático"-adjective-spa
"asiatique"-adjective-fra "asiático"-adjective-spa
"asiatique"-adjective-fra "asiático"-adjective-spa
"asiatique"-adjective-fra "asiático"-adjective-spa
"asiatique"-adjective-fra "asiático"-adjective-spa
"asiatique"-adjective-fra "asiático"-adjective-spa
"Asie"-properNoun-fra "Asia"-properNoun-spa
"Asie"-properNoun-fra "Asia"-properNoun-spa
"Asie centrale"-properNoun-fra "Asia Central"-properNoun-spa
"Asie du Sud-Est"-properNoun-fra "Sudeste Asiático"-properNoun-spa
"Asie Mineure"-properNoun-fra "Asia Menor"-properNoun-spa
"Asier"-properNoun-fra "Asier"-properNoun-spa
"Askartza"-properNoun-fra "Askartza"-properNoun-spa
"Askatasuna"-properNoun-fra "Askatasuna"-properNoun-spa
"Asmara"-properNoun-fra "Asmara"-properNoun-spa
"Asobal"-properNoun-fra "Asobal"-properNoun-spa
"Aspe"-properNoun-fra "Aspe"-properNoun-spa
